,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
1,,Holborn Hill,Belturbet,Cavan,Ireland,"Holborn Hill, Belturbet, Cavan, Ireland",Development - Not Commenced,,Keenan Corporate Finance,"Holborn Hill Belturbet Cavan Ireland Holborn Hill, Belturbet, Cavan, Ireland Development - Not Commenced nan Keenan Corporate Finance","holborn hill belturbet cavan ireland holborn hill, belturbet, cavan, ireland development - not commenced  kee corporate fice","['holborn', 'hill', 'belturbet', 'cavan', 'ireland', 'holborn', 'hill', ',', 'belturbet', ',', 'cavan', ',', 'ireland', 'development', '-', 'not', 'commenced', 'kee', 'corporate', 'fice']",holborn hill belturbet cavan ireland holborn hill belturbet cavan ireland development not commenced kee corporate fice,5
2,,Unit at Creeney,Belturbet,Cavan,Ireland,"Unit at Creeney, Belturbet, Cavan, Ireland",Industrial,,RSM Farrell Grant Sparks,"Unit at Creeney Belturbet Cavan Ireland Unit at Creeney, Belturbet, Cavan, Ireland Industrial nan RSM Farrell Grant Sparks","unit at creeney belturbet cavan ireland unit at creeney, belturbet, cavan, ireland industrial  rsm farrell grant sparks","['unit', 'at', 'creeney', 'belturbet', 'cavan', 'ireland', 'unit', 'at', 'creeney', ',', 'belturbet', ',', 'cavan', ',', 'ireland', 'industrial', 'rsm', 'farrell', 'grant', 'sparks']",unit at creeney belturbet cavan ireland unit at creeney belturbet cavan ireland industrial rsm farrell grant sparks,5
183,,Airfield,Dundrum,Dublin 14,Ireland,"Airfield, Dundrum, Dublin 14, Ireland",Development - Not Commenced,,RSM Farrell Grant Sparks,"Airfield Dundrum Dublin 14 Ireland Airfield, Dundrum, Dublin 14, Ireland Development - Not Commenced nan RSM Farrell Grant Sparks","airfield dundrum dublin_14 ireland airfield, dundrum, dublin_14, ireland development - not commenced rsm farrell grant sparks","['airfield', 'dundrum', 'dublin_14', 'ireland', 'airfield', ',', 'dundrum', ',', 'dublin_14', ',', 'ireland', 'development', '-', 'not', 'commenced', 'rsm', 'farrell', 'grant', 'sparks']",airfield dundrum dublin_14 ireland airfield dundrum dublin_14 ireland development not commenced rsm farrell grant sparks,5
184,,Whitechurch,Rathfarnham,Dublin 14,Ireland,"Whitechurch, Rathfarnham, Dublin 14, Ireland",Development - Not Commenced,,RSM Farrell Grant Sparks,"Whitechurch Rathfarnham Dublin 14 Ireland Whitechurch, Rathfarnham, Dublin 14, Ireland Development - Not Commenced nan RSM Farrell Grant Sparks","whitechurch rathfarnham dublin_14 ireland whitechurch, rathfarnham, dublin_14, ireland development - not commenced rsm farrell grant sparks","['whitechurch', 'rathfarnham', 'dublin_14', 'ireland', 'whitechurch', ',', 'rathfarnham', ',', 'dublin_14', ',', 'ireland', 'development', '-', 'not', 'commenced', 'rsm', 'farrell', 'grant', 'sparks']",whitechurch rathfarnham dublin_14 ireland whitechurch rathfarnham dublin_14 ireland development not commenced rsm farrell grant sparks,5
185,,"Certain Residential
Units at Loreto
Abbey",Rathfarnham,Dublin 14,Ireland,"Certain Residential
Units at Loreto
Abbey, Rathfarnham, Dublin 14, Ireland",Residential,,PwC,"Certain Residential
Units at Loreto
Abbey Rathfarnham Dublin 14 Ireland Certain Residential
Units at Loreto
Abbey, Rathfarnham, Dublin 14, Ireland Residential nan PwC","certain residential units at loreto abbey rathfarnham dublin_14 ireland certain residential units at loreto abbey, rathfarnham, dublin_14, ireland residential pwc","['certain', 'residential', 'units', 'at', 'loreto', 'abbey', 'rathfarnham', 'dublin_14', 'ireland', 'certain', 'residential', 'units', 'at', 'loreto', 'abbey', ',', 'rathfarnham', ',', 'dublin_14', ',', 'ireland', 'residential', 'pwc']",certain residential units at loreto abbey rathfarnham dublin_14 ireland certain residential units at loreto abbey rathfarnham dublin_14 ireland residential pwc,5
266,,Belgard Road,Tallaght,Dublin 24,Ireland,"Belgard Road, Tallaght, Dublin 24, Ireland",Development - Not Commenced,,RSM Farrell Grant Sparks,"Belgard Road Tallaght Dublin 24 Ireland Belgard Road, Tallaght, Dublin 24, Ireland Development - Not Commenced nan RSM Farrell Grant Sparks","belgard road tallaght dublin_24 ireland belgard road, tallaght, dublin_24, ireland development - not commenced rsm farrell grant sparks","['belgard', 'road', 'tallaght', 'dublin_24', 'ireland', 'belgard', 'road', ',', 'tallaght', ',', 'dublin_24', ',', 'ireland', 'development', '-', 'not', 'commenced', 'rsm', 'farrell', 'grant', 'sparks']",belgard road tallaght dublin_24 ireland belgard road tallaght dublin_24 ireland development not commenced rsm farrell grant sparks,5
306,,"Brunswick Street
North",Georges Lane,Dublin 7,Ireland,"Brunswick Street
North, Georges Lane, Dublin 7, Ireland",Office,,Deloitte,"Brunswick Street
North Georges Lane Dublin 7 Ireland Brunswick Street
North, Georges Lane, Dublin 7, Ireland Office nan Deloitte","brunswick street north georges lane dublin_7 ireland brunswick street north, georges lane, dublin_7, ireland office deloitte","['brunswick', 'street', 'north', 'georges', 'lane', 'dublin_7', 'ireland', 'brunswick', 'street', 'north', ',', 'georges', 'lane', ',', 'dublin_7', ',', 'ireland', 'office', 'deloitte']",brunswick street north georges lane dublin_7 ireland brunswick street north georges lane dublin_7 ireland office deloitte,5
307,,Capel Building,Mary's Abbey,Dublin 7,Ireland,"Capel Building, Mary's Abbey, Dublin 7, Ireland",Retail,,BDO,"Capel Building Mary's Abbey Dublin 7 Ireland Capel Building, Mary's Abbey, Dublin 7, Ireland Retail nan BDO","capel building mary's abbey dublin_7 ireland capel building, mary's abbey, dublin_7, ireland retail bdo","['capel', 'building', 'mary', ""'s"", 'abbey', 'dublin_7', 'ireland', 'capel', 'building', ',', 'mary', ""'s"", 'abbey', ',', 'dublin_7', ',', 'ireland', 'retail', 'bdo']",capel building mary 's abbey dublin_7 ireland capel building mary 's abbey dublin_7 ireland retail bdo,5
308,,"Certain Residential
Units at Smithfield
Lofts",North King Street,Dublin 7,Ireland,"Certain Residential
Units at Smithfield
Lofts, North King Street, Dublin 7, Ireland",Residential,,PwC,"Certain Residential
Units at Smithfield
Lofts North King Street Dublin 7 Ireland Certain Residential
Units at Smithfield
Lofts, North King Street, Dublin 7, Ireland Residential nan PwC","certain residential units at smithfield lofts north king street dublin_7 ireland certain residential units at smithfield lofts, north king street, dublin_7, ireland residential pwc","['certain', 'residential', 'units', 'at', 'smithfield', 'lofts', 'north', 'king', 'street', 'dublin_7', 'ireland', 'certain', 'residential', 'units', 'at', 'smithfield', 'lofts', ',', 'north', 'king', 'street', ',', 'dublin_7', ',', 'ireland', 'residential', 'pwc']",certain residential units at smithfield lofts north king street dublin_7 ireland certain residential units at smithfield lofts north king street dublin_7 ireland residential pwc,5
309,,"Certain Commercial
Units at Smithfield
Lofts",North King Street,Dublin 7,Ireland,"Certain Commercial
Units at Smithfield
Lofts, North King Street, Dublin 7, Ireland",Mixed Use,,PwC,"Certain Commercial
Units at Smithfield
Lofts North King Street Dublin 7 Ireland Certain Commercial
Units at Smithfield
Lofts, North King Street, Dublin 7, Ireland Mixed Use nan PwC","certain commercial units at smithfield lofts north king street dublin_7 ireland certain commercial units at smithfield lofts, north king street, dublin_7, ireland mixed use pwc","['certain', 'commercial', 'units', 'at', 'smithfield', 'lofts', 'north', 'king', 'street', 'dublin_7', 'ireland', 'certain', 'commercial', 'units', 'at', 'smithfield', 'lofts', ',', 'north', 'king', 'street', ',', 'dublin_7', ',', 'ireland', 'mixed', 'use', 'pwc']",certain commercial units at smithfield lofts north king street dublin_7 ireland certain commercial units at smithfield lofts north king street dublin_7 ireland mixed use pwc,5
