,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
128,,Glencairn,,Dublin,Ireland,"Glencairn, Dublin, Ireland",Development - Not Commenced,,Baker Tilly Ryan Glennon,"Glencairn nan Dublin Ireland Glencairn, Dublin, Ireland Development - Not Commenced nan Baker Tilly Ryan Glennon","glencairn  dublin ireland glencairn, dublin, ireland development - not commenced  baker tilly ryan glennon","['glencairn', 'dublin', 'ireland', 'glencairn', ',', 'dublin', ',', 'ireland', 'development', '-', 'not', 'commenced', 'baker', 'tilly', 'ryan', 'glennon']",glencairn dublin ireland glencairn dublin ireland development not commenced baker tilly ryan glennon,18
130,,Carysfort Avenue,Blackrock,Dublin,Ireland,"Carysfort Avenue, Blackrock, Dublin, Ireland",Office,,Savills,"Carysfort Avenue Blackrock Dublin Ireland Carysfort Avenue, Blackrock, Dublin, Ireland Office nan Savills","carysfort avenue blackrock dublin ireland carysfort avenue, blackrock, dublin, ireland office  savills","['carysfort', 'avenue', 'blackrock', 'dublin', 'ireland', 'carysfort', 'avenue', ',', 'blackrock', ',', 'dublin', ',', 'ireland', 'office', 'savills']",carysfort avenue blackrock dublin ireland carysfort avenue blackrock dublin ireland office savills,18
131,,Luttrellstown Road,Castleknock,Dublin,Ireland,"Luttrellstown Road, Castleknock, Dublin, Ireland",Development - Not Commenced,,Deloitte,"Luttrellstown Road Castleknock Dublin Ireland Luttrellstown Road, Castleknock, Dublin, Ireland Development - Not Commenced nan Deloitte","luttrellstown road castleknock dublin ireland luttrellstown road, castleknock, dublin, ireland development - not commenced  deloitte","['luttrellstown', 'road', 'castleknock', 'dublin', 'ireland', 'luttrellstown', 'road', ',', 'castleknock', ',', 'dublin', ',', 'ireland', 'development', '-', 'not', 'commenced', 'deloitte']",luttrellstown road castleknock dublin ireland luttrellstown road castleknock dublin ireland development not commenced deloitte,18
132,,Luttrellstown Road,Castleknock,Dublin,Ireland,"Luttrellstown Road, Castleknock, Dublin, Ireland",Residential,,Deloitte,"Luttrellstown Road Castleknock Dublin Ireland Luttrellstown Road, Castleknock, Dublin, Ireland Residential nan Deloitte","luttrellstown road castleknock dublin ireland luttrellstown road, castleknock, dublin, ireland residential  deloitte","['luttrellstown', 'road', 'castleknock', 'dublin', 'ireland', 'luttrellstown', 'road', ',', 'castleknock', ',', 'dublin', ',', 'ireland', 'residential', 'deloitte']",luttrellstown road castleknock dublin ireland luttrellstown road castleknock dublin ireland residential deloitte,18
133,,"Carpenderstown
Road",Castleknock,Dublin,Ireland,"Carpenderstown
Road, Castleknock, Dublin, Ireland",Residential,,Deloitte,"Carpenderstown
Road Castleknock Dublin Ireland Carpenderstown
Road, Castleknock, Dublin, Ireland Residential nan Deloitte","carpenderstown road castleknock dublin ireland carpenderstown road, castleknock, dublin, ireland residential  deloitte","['carpenderstown', 'road', 'castleknock', 'dublin', 'ireland', 'carpenderstown', 'road', ',', 'castleknock', ',', 'dublin', ',', 'ireland', 'residential', 'deloitte']",carpenderstown road castleknock dublin ireland carpenderstown road castleknock dublin ireland residential deloitte,18
134,,Maldron Hotel,Citywest,Dublin,Ireland,"Maldron Hotel, Citywest, Dublin, Ireland",Hotel,,KPMG,"Maldron Hotel Citywest Dublin Ireland Maldron Hotel, Citywest, Dublin, Ireland Hotel nan KPMG","maldron hotel citywest dublin ireland maldron hotel, citywest, dublin, ireland hotel  kpmg","['maldron', 'hotel', 'citywest', 'dublin', 'ireland', 'maldron', 'hotel', ',', 'citywest', ',', 'dublin', ',', 'ireland', 'hotel', 'kpmg']",maldron hotel citywest dublin ireland maldron hotel citywest dublin ireland hotel kpmg,18
135,,"Westpark
Apartments",Citywest,Dublin,Ireland,"Westpark
Apartments, Citywest, Dublin, Ireland",Residential,,KPMG,"Westpark
Apartments Citywest Dublin Ireland Westpark
Apartments, Citywest, Dublin, Ireland Residential nan KPMG","westpark apartments citywest dublin ireland westpark apartments, citywest, dublin, ireland residential  kpmg","['westpark', 'apartments', 'citywest', 'dublin', 'ireland', 'westpark', 'apartments', ',', 'citywest', ',', 'dublin', ',', 'ireland', 'residential', 'kpmg']",westpark apartments citywest dublin ireland westpark apartments citywest dublin ireland residential kpmg,18
136,,Beech Hill Road,Clonskeagh,Dublin,Ireland,"Beech Hill Road, Clonskeagh, Dublin, Ireland",Office,,Savills,"Beech Hill Road Clonskeagh Dublin Ireland Beech Hill Road, Clonskeagh, Dublin, Ireland Office nan Savills","beech hill road clonskeagh dublin ireland beech hill road, clonskeagh, dublin, ireland office  savills","['beech', 'hill', 'road', 'clonskeagh', 'dublin', 'ireland', 'beech', 'hill', 'road', ',', 'clonskeagh', ',', 'dublin', ',', 'ireland', 'office', 'savills']",beech hill road clonskeagh dublin ireland beech hill road clonskeagh dublin ireland office savills,18
138,,Clarion Hotel,Dublin Airport,Dublin,Ireland,"Clarion Hotel, Dublin Airport, Dublin, Ireland",Hotel,,KPMG,"Clarion Hotel Dublin Airport Dublin Ireland Clarion Hotel, Dublin Airport, Dublin, Ireland Hotel nan KPMG","clarion hotel dublin airport dublin ireland clarion hotel, dublin airport, dublin, ireland hotel  kpmg","['clarion', 'hotel', 'dublin', 'airport', 'dublin', 'ireland', 'clarion', 'hotel', ',', 'dublin', 'airport', ',', 'dublin', ',', 'ireland', 'hotel', 'kpmg']",clarion hotel dublin airport dublin ireland clarion hotel dublin airport dublin ireland hotel kpmg,18
139,,Teeling site,Howth,Dublin,Ireland,"Teeling site, Howth, Dublin, Ireland",Development - Not Commenced,,Grant Thornton,"Teeling site Howth Dublin Ireland Teeling site, Howth, Dublin, Ireland Development - Not Commenced nan Grant Thornton","teeling site howth dublin ireland teeling site, howth, dublin, ireland development - not commenced  grant thornton","['teeling', 'site', 'howth', 'dublin', 'ireland', 'teeling', 'site', ',', 'howth', ',', 'dublin', ',', 'ireland', 'development', '-', 'not', 'commenced', 'grant', 'thornton']",teeling site howth dublin ireland teeling site howth dublin ireland development not commenced grant thornton,18
140,,Techrete site,Howth,Dublin,Ireland,"Techrete site, Howth, Dublin, Ireland",Development - Not Commenced,,Grant Thornton,"Techrete site Howth Dublin Ireland Techrete site, Howth, Dublin, Ireland Development - Not Commenced nan Grant Thornton","techrete site howth dublin ireland techrete site, howth, dublin, ireland development - not commenced  grant thornton","['techrete', 'site', 'howth', 'dublin', 'ireland', 'techrete', 'site', ',', 'howth', ',', 'dublin', ',', 'ireland', 'development', '-', 'not', 'commenced', 'grant', 'thornton']",techrete site howth dublin ireland techrete site howth dublin ireland development not commenced grant thornton,18
141,,Old Dublin Road,Lucan,Dublin,Ireland,"Old Dublin Road, Lucan, Dublin, Ireland",Mixed Use,,PwC,"Old Dublin Road Lucan Dublin Ireland Old Dublin Road, Lucan, Dublin, Ireland Mixed Use nan PwC","old dublin road lucan dublin ireland old dublin road, lucan, dublin, ireland mixed use  pwc","['old', 'dublin', 'road', 'lucan', 'dublin', 'ireland', 'old', 'dublin', 'road', ',', 'lucan', ',', 'dublin', ',', 'ireland', 'mixed', 'use', 'pwc']",old dublin road lucan dublin ireland old dublin road lucan dublin ireland mixed use pwc,18
142,,Back Road,Malahide,Dublin,Ireland,"Back Road, Malahide, Dublin, Ireland",Development - Not Commenced,,Deloitte,"Back Road Malahide Dublin Ireland Back Road, Malahide, Dublin, Ireland Development - Not Commenced nan Deloitte","back road malahide dublin ireland back road, malahide, dublin, ireland development - not commenced  deloitte","['back', 'road', 'malahide', 'dublin', 'ireland', 'back', 'road', ',', 'malahide', ',', 'dublin', ',', 'ireland', 'development', '-', 'not', 'commenced', 'deloitte']",back road malahide dublin ireland back road malahide dublin ireland development not commenced deloitte,18
