,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
33,,Lisavard,,Cork,Ireland,"Lisavard, Cork, Ireland",Agricultural Land,,Baker Tilly Ryan Glennon,"Lisavard nan Cork Ireland Lisavard, Cork, Ireland Agricultural Land nan Baker Tilly Ryan Glennon","lisavard  cork ireland lisavard, cork, ireland agricultural land  baker tilly ryan glennon","['lisavard', 'cork', 'ireland', 'lisavard', ',', 'cork', ',', 'ireland', 'agricultural', 'land', 'baker', 'tilly', 'ryan', 'glennon']",lisavard cork ireland lisavard cork ireland agricultural land baker tilly ryan glennon,8
34,,Tulligmore,Ballinhassig,Cork,Ireland,"Tulligmore, Ballinhassig, Cork, Ireland",Development - Not Commenced,,Ernst & Young,"Tulligmore Ballinhassig Cork Ireland Tulligmore, Ballinhassig, Cork, Ireland Development - Not Commenced nan Ernst & Young","tulligmore ballinhassig cork ireland tulligmore, ballinhassig, cork, ireland development - not commenced  ernst & young","['tulligmore', 'ballinhassig', 'cork', 'ireland', 'tulligmore', ',', 'ballinhassig', ',', 'cork', ',', 'ireland', 'development', '-', 'not', 'commenced', 'ernst', '&', 'young']",tulligmore ballinhassig cork ireland tulligmore ballinhassig cork ireland development not commenced ernst young,8
35,,New Cork Road,Bandon,Cork,Ireland,"New Cork Road, Bandon, Cork, Ireland",Office,,Baker Tilly Ryan Glennon,"New Cork Road Bandon Cork Ireland New Cork Road, Bandon, Cork, Ireland Office nan Baker Tilly Ryan Glennon","new cork road bandon cork ireland new cork road, bandon, cork, ireland office  baker tilly ryan glennon","['new', 'cork', 'road', 'bandon', 'cork', 'ireland', 'new', 'cork', 'road', ',', 'bandon', ',', 'cork', ',', 'ireland', 'office', 'baker', 'tilly', 'ryan', 'glennon']",new cork road bandon cork ireland new cork road bandon cork ireland office baker tilly ryan glennon,8
36,,Castlewoods,Bandon,Cork,Ireland,"Castlewoods, Bandon, Cork, Ireland",Residential,,Baker Tilly Ryan Glennon,"Castlewoods Bandon Cork Ireland Castlewoods, Bandon, Cork, Ireland Residential nan Baker Tilly Ryan Glennon","castlewoods bandon cork ireland castlewoods, bandon, cork, ireland residential  baker tilly ryan glennon","['castlewoods', 'bandon', 'cork', 'ireland', 'castlewoods', ',', 'bandon', ',', 'cork', ',', 'ireland', 'residential', 'baker', 'tilly', 'ryan', 'glennon']",castlewoods bandon cork ireland castlewoods bandon cork ireland residential baker tilly ryan glennon,8
37,,Curraheen,Bishopstown,Cork,Ireland,"Curraheen, Bishopstown, Cork, Ireland",Development - Not Commenced,,PwC,"Curraheen Bishopstown Cork Ireland Curraheen, Bishopstown, Cork, Ireland Development - Not Commenced nan PwC","curraheen bishopstown cork ireland curraheen, bishopstown, cork, ireland development - not commenced  pwc","['curraheen', 'bishopstown', 'cork', 'ireland', 'curraheen', ',', 'bishopstown', ',', 'cork', ',', 'ireland', 'development', '-', 'not', 'commenced', 'pwc']",curraheen bishopstown cork ireland curraheen bishopstown cork ireland development not commenced pwc,8
38,,Station Road,Blarney,Cork,Ireland,"Station Road, Blarney, Cork, Ireland",Residential,,Baker Tilly Ryan Glennon,"Station Road Blarney Cork Ireland Station Road, Blarney, Cork, Ireland Residential nan Baker Tilly Ryan Glennon","station road blarney cork ireland station road, blarney, cork, ireland residential  baker tilly ryan glennon","['station', 'road', 'blarney', 'cork', 'ireland', 'station', 'road', ',', 'blarney', ',', 'cork', ',', 'ireland', 'residential', 'baker', 'tilly', 'ryan', 'glennon']",station road blarney cork ireland station road blarney cork ireland residential baker tilly ryan glennon,8
39,,Ardamadane,Blarney,Cork,Ireland,"Blarney, Cork, Ireland",Development - Not Commenced,,PwC,"Ardamadane Blarney Cork Ireland Blarney, Cork, Ireland Development - Not Commenced nan PwC","ardamadane blarney cork ireland blarney, cork, ireland development - not commenced  pwc","['ardamadane', 'blarney', 'cork', 'ireland', 'blarney', ',', 'cork', ',', 'ireland', 'development', '-', 'not', 'commenced', 'pwc']",ardamadane blarney cork ireland blarney cork ireland development not commenced pwc,8
40,,"Blarney Business
Park",Blarney,Cork,Ireland,"Blarney Business
Park, Blarney, Cork, Ireland",Development - Not Commenced,,Ernst & Young,"Blarney Business
Park Blarney Cork Ireland Blarney Business
Park, Blarney, Cork, Ireland Development - Not Commenced nan Ernst & Young","blarney business park blarney cork ireland blarney business park, blarney, cork, ireland development - not commenced  ernst & young","['blarney', 'business', 'park', 'blarney', 'cork', 'ireland', 'blarney', 'business', 'park', ',', 'blarney', ',', 'cork', ',', 'ireland', 'development', '-', 'not', 'commenced', 'ernst', '&', 'young']",blarney business park blarney cork ireland blarney business park blarney cork ireland development not commenced ernst young,8
41,,"Blarney Business
Park",Blarney,Cork,Ireland,"Blarney Business
Park, Blarney, Cork, Ireland",Retail,,Ernst & Young,"Blarney Business
Park Blarney Cork Ireland Blarney Business
Park, Blarney, Cork, Ireland Retail nan Ernst & Young","blarney business park blarney cork ireland blarney business park, blarney, cork, ireland retail  ernst & young","['blarney', 'business', 'park', 'blarney', 'cork', 'ireland', 'blarney', 'business', 'park', ',', 'blarney', ',', 'cork', ',', 'ireland', 'retail', 'ernst', '&', 'young']",blarney business park blarney cork ireland blarney business park blarney cork ireland retail ernst young,8
42,,"Blarney Business
Park",Blarney,Cork,Ireland,"Blarney Business
Park, Blarney, Cork, Ireland",Other,"Zoned Land - No
Planning",Ernst & Young,"Blarney Business
Park Blarney Cork Ireland Blarney Business
Park, Blarney, Cork, Ireland Other Zoned Land - No
Planning Ernst & Young","blarney business park blarney cork ireland blarney business park, blarney, cork, ireland other zoned land - no planning ernst & young","['blarney', 'business', 'park', 'blarney', 'cork', 'ireland', 'blarney', 'business', 'park', ',', 'blarney', ',', 'cork', ',', 'ireland', 'other', 'zoned', 'land', '-', 'no', 'planning', 'ernst', '&', 'young']",blarney business park blarney cork ireland blarney business park blarney cork ireland other zoned land no planning ernst young,8
