,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
3,,Whelan's Quarry,Daragh,Clare,Ireland,"Whelan's Quarry, Daragh, Clare, Ireland",Other,Quarry,Grant Thornton,"Whelan's Quarry Daragh Clare Ireland Whelan's Quarry, Daragh, Clare, Ireland Other Quarry Grant Thornton","whelan's quarry daragh clare ireland whelan's quarry, daragh, clare, ireland other quarry grant thornton","['whelan', ""'s"", 'quarry', 'daragh', 'clare', 'ireland', 'whelan', ""'s"", 'quarry', ',', 'daragh', ',', 'clare', ',', 'ireland', 'other', 'quarry', 'grant', 'thornton']",whelan 's quarry daragh clare ireland whelan 's quarry daragh clare ireland other quarry grant thornton,15
4,,Teergoneen,Doolin,Clare,Ireland,"Teergoneen, Doolin, Clare, Ireland",Agricultural Land,,PricewaterhouseCoopers,"Teergoneen Doolin Clare Ireland Teergoneen, Doolin, Clare, Ireland Agricultural Land nan PricewaterhouseCoopers","teergoneen doolin clare ireland teergoneen, doolin, clare, ireland agricultural land  pricewaterhousecoopers","['teergoneen', 'doolin', 'clare', 'ireland', 'teergoneen', ',', 'doolin', ',', 'clare', ',', 'ireland', 'agricultural', 'land', 'pricewaterhousecoopers']",teergoneen doolin clare ireland teergoneen doolin clare ireland agricultural land pricewaterhousecoopers,15
5,,"Westpoint Business
Park, Kilrush Road",Ennis,Clare,Ireland,"Westpoint Business
Park, Kilrush Road, Ennis, Clare, Ireland",Retail,,BDO,"Westpoint Business
Park, Kilrush Road Ennis Clare Ireland Westpoint Business
Park, Kilrush Road, Ennis, Clare, Ireland Retail nan BDO","westpoint business park, kilrush road ennis clare ireland westpoint business park, kilrush road, ennis, clare, ireland retail  bdo","['westpoint', 'business', 'park', ',', 'kilrush', 'road', 'ennis', 'clare', 'ireland', 'westpoint', 'business', 'park', ',', 'kilrush', 'road', ',', 'ennis', ',', 'clare', ',', 'ireland', 'retail', 'bdo']",westpoint business park kilrush road ennis clare ireland westpoint business park kilrush road ennis clare ireland retail bdo,15
6,,"Ballyaghboy, Doora",Ennis,Clare,Ireland,"Ballyaghboy, Doora, Ennis, Clare, Ireland",Agricultural Land,,RSM Farrell Grant Sparks,"Ballyaghboy, Doora Ennis Clare Ireland Ballyaghboy, Doora, Ennis, Clare, Ireland Agricultural Land nan RSM Farrell Grant Sparks","ballyaghboy, doora ennis clare ireland ballyaghboy, doora, ennis, clare, ireland agricultural land  rsm farrell grant sparks","['ballyaghboy', ',', 'doora', 'ennis', 'clare', 'ireland', 'ballyaghboy', ',', 'doora', ',', 'ennis', ',', 'clare', ',', 'ireland', 'agricultural', 'land', 'rsm', 'farrell', 'grant', 'sparks']",ballyaghboy doora ennis clare ireland ballyaghboy doora ennis clare ireland agricultural land rsm farrell grant sparks,15
7,,"Ballyaghboy, Doora",Ennis,Clare,Ireland,"Ballyaghboy, Doora, Ennis, Clare, Ireland",Development - Not Commenced,,RSM Farrell Grant Sparks,"Ballyaghboy, Doora Ennis Clare Ireland Ballyaghboy, Doora, Ennis, Clare, Ireland Development - Not Commenced nan RSM Farrell Grant Sparks","ballyaghboy, doora ennis clare ireland ballyaghboy, doora, ennis, clare, ireland development - not commenced  rsm farrell grant sparks","['ballyaghboy', ',', 'doora', 'ennis', 'clare', 'ireland', 'ballyaghboy', ',', 'doora', ',', 'ennis', ',', 'clare', ',', 'ireland', 'development', '-', 'not', 'commenced', 'rsm', 'farrell', 'grant', 'sparks']",ballyaghboy doora ennis clare ireland ballyaghboy doora ennis clare ireland development not commenced rsm farrell grant sparks,15
8,,"Whelan's Quarry
Fountain Cross",Ennis,Clare,Ireland,"Whelan's Quarry
Fountain Cross, Ennis, Clare, Ireland",Other,Quarry,Grant Thornton,"Whelan's Quarry
Fountain Cross Ennis Clare Ireland Whelan's Quarry
Fountain Cross, Ennis, Clare, Ireland Other Quarry Grant Thornton","whelan's quarry fountain cross ennis clare ireland whelan's quarry fountain cross, ennis, clare, ireland other quarry grant thornton","['whelan', ""'s"", 'quarry', 'fountain', 'cross', 'ennis', 'clare', 'ireland', 'whelan', ""'s"", 'quarry', 'fountain', 'cross', ',', 'ennis', ',', 'clare', ',', 'ireland', 'other', 'quarry', 'grant', 'thornton']",whelan 's quarry fountain cross ennis clare ireland whelan 's quarry fountain cross ennis clare ireland other quarry grant thornton,15
9,,"Garran na Coille,
Shanaway Road",Ennis,Clare,Ireland,"Garran na Coille,
Shanaway Road, Ennis, Clare, Ireland",Residential,,Deloitte & Touche,"Garran na Coille,
Shanaway Road Ennis Clare Ireland Garran na Coille,
Shanaway Road, Ennis, Clare, Ireland Residential nan Deloitte & Touche","garran na coille, shanaway road ennis clare ireland garran na coille, shanaway road, ennis, clare, ireland residential  deloitte & touche","['garran', 'na', 'coille', ',', 'shanaway', 'road', 'ennis', 'clare', 'ireland', 'garran', 'na', 'coille', ',', 'shanaway', 'road', ',', 'ennis', ',', 'clare', ',', 'ireland', 'residential', 'deloitte', '&', 'touche']",garran na coille shanaway road ennis clare ireland garran na coille shanaway road ennis clare ireland residential deloitte touche,15
10,,"Cluain Ros Leamhain,
Roslevan, Tulla Road",Ennis,Clare,Ireland,"Cluain Ros Leamhain,
Roslevan, Tulla Road, Ennis, Clare, Ireland",Residential,,Deloitte & Touche,"Cluain Ros Leamhain,
Roslevan, Tulla Road Ennis Clare Ireland Cluain Ros Leamhain,
Roslevan, Tulla Road, Ennis, Clare, Ireland Residential nan Deloitte & Touche","cluain ros leamhain, roslevan, tulla road ennis clare ireland cluain ros leamhain, roslevan, tulla road, ennis, clare, ireland residential  deloitte & touche","['cluain', 'ros', 'leamhain', ',', 'roslevan', ',', 'tulla', 'road', 'ennis', 'clare', 'ireland', 'cluain', 'ros', 'leamhain', ',', 'roslevan', ',', 'tulla', 'road', ',', 'ennis', ',', 'clare', ',', 'ireland', 'residential', 'deloitte', '&', 'touche']",cluain ros leamhain roslevan tulla road ennis clare ireland cluain ros leamhain roslevan tulla road ennis clare ireland residential deloitte touche,15
11,,Lahinch Road,Ennis,Clare,Ireland,"Lahinch Road, Ennis, Clare, Ireland",Development - Not Commenced,,Deloitte & Touche,"Lahinch Road Ennis Clare Ireland Lahinch Road, Ennis, Clare, Ireland Development - Not Commenced nan Deloitte & Touche","lahinch road ennis clare ireland lahinch road, ennis, clare, ireland development - not commenced  deloitte & touche","['lahinch', 'road', 'ennis', 'clare', 'ireland', 'lahinch', 'road', ',', 'ennis', ',', 'clare', ',', 'ireland', 'development', '-', 'not', 'commenced', 'deloitte', '&', 'touche']",lahinch road ennis clare ireland lahinch road ennis clare ireland development not commenced deloitte touche,15
12,,"Balleycorey, Gort
Road",Ennis,Clare,Ireland,"Balleycorey, Gort
Road, Ennis, Clare, Ireland",Development - Not Commenced,,Deloitte & Touche,"Balleycorey, Gort
Road Ennis Clare Ireland Balleycorey, Gort
Road, Ennis, Clare, Ireland Development - Not Commenced nan Deloitte & Touche","balleycorey, gort road ennis clare ireland balleycorey, gort road, ennis, clare, ireland development - not commenced  deloitte & touche","['balleycorey', ',', 'gort', 'road', 'ennis', 'clare', 'ireland', 'balleycorey', ',', 'gort', 'road', ',', 'ennis', ',', 'clare', ',', 'ireland', 'development', '-', 'not', 'commenced', 'deloitte', '&', 'touche']",balleycorey gort road ennis clare ireland balleycorey gort road ennis clare ireland development not commenced deloitte touche,15
