,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
576,,Great Victoria Street,Belfast,Antrim,Northern Ireland,"Great Victoria Street, Belfast, Antrim, Northern Ireland",Development - Not Commenced,,Keenan Corporate Finance,"Great Victoria Street Belfast Antrim Northern Ireland Great Victoria Street, Belfast, Antrim, Northern Ireland Development - Not Commenced nan Keenan Corporate Finance","great victoria street belfast antrim northern ireland great victoria street, belfast, antrim, northern ireland development - not commenced  kee corporate fice","['great', 'victoria', 'street', 'belfast', 'antrim', 'northern', 'ireland', 'great', 'victoria', 'street', ',', 'belfast', ',', 'antrim', ',', 'northern', 'ireland', 'development', '-', 'not', 'commenced', 'kee', 'corporate', 'fice']",great victoria street belfast antrim northern ireland great victoria street belfast antrim northern ireland development not commenced kee corporate fice,2
577,,"Belsize Meadows
Phase 1",Lisburn,Antrim,Northern Ireland,"Belsize Meadows
Phase 1, Lisburn, Antrim, Northern Ireland",Development - Commenced,,BDO Northern Ireland,"Belsize Meadows
Phase 1 Lisburn Antrim Northern Ireland Belsize Meadows
Phase 1, Lisburn, Antrim, Northern Ireland Development - Commenced nan BDO Northern Ireland","belsize meadows phase 1 lisburn antrim northern ireland belsize meadows phase 1, lisburn, antrim, northern ireland development - commenced  bdo northern ireland","['belsize', 'meadows', 'phase', '1', 'lisburn', 'antrim', 'northern', 'ireland', 'belsize', 'meadows', 'phase', '1', ',', 'lisburn', ',', 'antrim', ',', 'northern', 'ireland', 'development', '-', 'commenced', 'bdo', 'northern', 'ireland']",belsize meadows phase 1 lisburn antrim northern ireland belsize meadows phase 1 lisburn antrim northern ireland development commenced bdo northern ireland,2
578,,"Belsize Meadows
Phase 2",Lisburn,Antrim,Northern Ireland,"Belsize Meadows
Phase 2, Lisburn, Antrim, Northern Ireland",Development - Not Commenced,,BDO Northern Ireland,"Belsize Meadows
Phase 2 Lisburn Antrim Northern Ireland Belsize Meadows
Phase 2, Lisburn, Antrim, Northern Ireland Development - Not Commenced nan BDO Northern Ireland","belsize meadows phase 2 lisburn antrim northern ireland belsize meadows phase 2, lisburn, antrim, northern ireland development - not commenced  bdo northern ireland","['belsize', 'meadows', 'phase', '2', 'lisburn', 'antrim', 'northern', 'ireland', 'belsize', 'meadows', 'phase', '2', ',', 'lisburn', ',', 'antrim', ',', 'northern', 'ireland', 'development', '-', 'not', 'commenced', 'bdo', 'northern', 'ireland']",belsize meadows phase 2 lisburn antrim northern ireland belsize meadows phase 2 lisburn antrim northern ireland development not commenced bdo northern ireland,2
579,,Michelin Road,Newtonabbey,Antrim,Northern Ireland,"Michelin Road, Newtonabbey, Antrim, Northern Ireland",Industrial,,kavanaghfennell,"Michelin Road Newtonabbey Antrim Northern Ireland Michelin Road, Newtonabbey, Antrim, Northern Ireland Industrial nan kavanaghfennell","michelin road newtonabbey antrim northern ireland michelin road, newtonabbey, antrim, northern ireland industrial  kavanaghfennell","['michelin', 'road', 'newtonabbey', 'antrim', 'northern', 'ireland', 'michelin', 'road', ',', 'newtonabbey', ',', 'antrim', ',', 'northern', 'ireland', 'industrial', 'kavanaghfennell']",michelin road newtonabbey antrim northern ireland michelin road newtonabbey antrim northern ireland industrial kavanaghfennell,2
580,,Lylehill Road,Templepatrick,Antrim,Northern Ireland,"Lylehill Road, Templepatrick, Antrim, Northern Ireland",Development - Not Commenced,,PwC,"Lylehill Road Templepatrick Antrim Northern Ireland Lylehill Road, Templepatrick, Antrim, Northern Ireland Development - Not Commenced nan PwC","lylehill road templepatrick antrim northern ireland lylehill road, templepatrick, antrim, northern ireland development - not commenced  pwc","['lylehill', 'road', 'templepatrick', 'antrim', 'northern', 'ireland', 'lylehill', 'road', ',', 'templepatrick', ',', 'antrim', ',', 'northern', 'ireland', 'development', '-', 'not', 'commenced', 'pwc']",lylehill road templepatrick antrim northern ireland lylehill road templepatrick antrim northern ireland development not commenced pwc,2
581,,Strangford Road,,"Ardglass, BT30 7SH",Northern Ireland,"Strangford Road, Ardglass, BT30 7SH, Northern Ireland",Development - Commenced,,BDO Northern Ireland,"Strangford Road nan Ardglass, BT30 7SH Northern Ireland Strangford Road, Ardglass, BT30 7SH, Northern Ireland Development - Commenced nan BDO Northern Ireland","strangford road  ardglass, bt30 7sh northern ireland strangford road, ardglass, bt30 7sh, northern ireland development - commenced  bdo northern ireland","['strangford', 'road', 'ardglass', ',', 'bt30', '7sh', 'northern', 'ireland', 'strangford', 'road', ',', 'ardglass', ',', 'bt30', '7sh', ',', 'northern', 'ireland', 'development', '-', 'commenced', 'bdo', 'northern', 'ireland']",strangford road ardglass bt30 7sh northern ireland strangford road ardglass bt30 7sh northern ireland development commenced bdo northern ireland,2
582,,Union Street,Lurgan,Armagh,Northern Ireland,"Union Street, Lurgan, Armagh, Northern Ireland",Development - Not Commenced,,BDO Northern Ireland,"Union Street Lurgan Armagh Northern Ireland Union Street, Lurgan, Armagh, Northern Ireland Development - Not Commenced nan BDO Northern Ireland","union street lurgan armagh northern ireland union street, lurgan, armagh, northern ireland development - not commenced  bdo northern ireland","['union', 'street', 'lurgan', 'armagh', 'northern', 'ireland', 'union', 'street', ',', 'lurgan', ',', 'armagh', ',', 'northern', 'ireland', 'development', '-', 'not', 'commenced', 'bdo', 'northern', 'ireland']",union street lurgan armagh northern ireland union street lurgan armagh northern ireland development not commenced bdo northern ireland,2
583,,Derryhale Road,Portadown,Armagh,Northern Ireland,"Derryhale Road, Portadown, Armagh, Northern Ireland",Development - Not Commenced,,RSM McClure Watters,"Derryhale Road Portadown Armagh Northern Ireland Derryhale Road, Portadown, Armagh, Northern Ireland Development - Not Commenced nan RSM McClure Watters","derryhale road portadown armagh northern ireland derryhale road, portadown, armagh, northern ireland development - not commenced  rsm mcclure watters","['derryhale', 'road', 'portadown', 'armagh', 'northern', 'ireland', 'derryhale', 'road', ',', 'portadown', ',', 'armagh', ',', 'northern', 'ireland', 'development', '-', 'not', 'commenced', 'rsm', 'mcclure', 'watters']",derryhale road portadown armagh northern ireland derryhale road portadown armagh northern ireland development not commenced rsm mcclure watters,2
584,,Limestone Square,Rock Road,Armagh,Northern Ireland,"Limestone Square, Rock Road, Armagh, Northern Ireland",Residential,,RSM McClure Watters,"Limestone Square Rock Road Armagh Northern Ireland Limestone Square, Rock Road, Armagh, Northern Ireland Residential nan RSM McClure Watters","limestone square rock road armagh northern ireland limestone square, rock road, armagh, northern ireland residential  rsm mcclure watters","['limestone', 'square', 'rock', 'road', 'armagh', 'northern', 'ireland', 'limestone', 'square', ',', 'rock', 'road', ',', 'armagh', ',', 'northern', 'ireland', 'residential', 'rsm', 'mcclure', 'watters']",limestone square rock road armagh northern ireland limestone square rock road armagh northern ireland residential rsm mcclure watters,2
585,,Limestone Square,Rock Road,Armagh,Northern Ireland,"Limestone Square, Rock Road, Armagh, Northern Ireland",Development - Not Commenced,,RSM McClure Watters,"Limestone Square Rock Road Armagh Northern Ireland Limestone Square, Rock Road, Armagh, Northern Ireland Development - Not Commenced nan RSM McClure Watters","limestone square rock road armagh northern ireland limestone square, rock road, armagh, northern ireland development - not commenced  rsm mcclure watters","['limestone', 'square', 'rock', 'road', 'armagh', 'northern', 'ireland', 'limestone', 'square', ',', 'rock', 'road', ',', 'armagh', ',', 'northern', 'ireland', 'development', '-', 'not', 'commenced', 'rsm', 'mcclure', 'watters']",limestone square rock road armagh northern ireland limestone square rock road armagh northern ireland development not commenced rsm mcclure watters,2
