,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
654,,Junction Road,,Andover,Great Britain,"Junction Road, Andover, Great Britain",Retail,,GVA,"Junction Road nan Andover Great Britain Junction Road, Andover, Great Britain Retail nan GVA","junction road  andover great britain junction road, andover, great britain retail  gva","['junction', 'road', 'andover', 'great', 'britain', 'junction', 'road', ',', 'andover', ',', 'great', 'britain', 'retail', 'gva']",junction road andover great britain junction road andover great britain retail gva,13
655,,"Brookfield
Apartments, Leigh
Road",,Atherton M46 0NW,Great Britain,"Brookfield
Apartments, Leigh
Road, Atherton M46 0NW, Great Britain",Residential,,KPMG,"Brookfield
Apartments, Leigh
Road nan Atherton M46 0NW Great Britain Brookfield
Apartments, Leigh
Road, Atherton M46 0NW, Great Britain Residential nan KPMG","brookfield apartments, leigh road  atherton m46 0nw great britain brookfield apartments, leigh road, atherton m46 0nw, great britain residential  kpmg","['brookfield', 'apartments', ',', 'leigh', 'road', 'atherton', 'm46', '0nw', 'great', 'britain', 'brookfield', 'apartments', ',', 'leigh', 'road', ',', 'atherton', 'm46', '0nw', ',', 'great', 'britain', 'residential', 'kpmg']",brookfield apartments leigh road atherton m46 0nw great britain brookfield apartments leigh road atherton m46 0nw great britain residential kpmg,13
657,,The Heights,St John's Street,Bedford,Great Britain,"The Heights, St John's Street, Bedford, Great Britain",Mixed Use,,Edward Symmons LLP,"The Heights St John's Street Bedford Great Britain The Heights, St John's Street, Bedford, Great Britain Mixed Use nan Edward Symmons LLP","the heights st john's street bedford great britain the heights, st john's street, bedford, great britain mixed use  edward symmons llp","['the', 'heights', 'st', 'john', ""'s"", 'street', 'bedford', 'great', 'britain', 'the', 'heights', ',', 'st', 'john', ""'s"", 'street', ',', 'bedford', ',', 'great', 'britain', 'mixed', 'use', 'edward', 'symmons', 'llp']",the heights st john 's street bedford great britain the heights st john 's street bedford great britain mixed use edward symmons llp,13
658,,"Concorde Business
Park",Maidenhead,Berkshire,Great Britain,"Concorde Business
Park, Maidenhead, Berkshire, Great Britain",Office,,Colliers International,"Concorde Business
Park Maidenhead Berkshire Great Britain Concorde Business
Park, Maidenhead, Berkshire, Great Britain Office nan Colliers International","concorde business park maidenhead berkshire great britain concorde business park, maidenhead, berkshire, great britain office  colliers international","['concorde', 'business', 'park', 'maidenhead', 'berkshire', 'great', 'britain', 'concorde', 'business', 'park', ',', 'maidenhead', ',', 'berkshire', ',', 'great', 'britain', 'office', 'colliers', 'international']",concorde business park maidenhead berkshire great britain concorde business park maidenhead berkshire great britain office colliers international,13
660,,High Steet,Harborne,Birmingham,Great Britain,"High Steet, Harborne, Birmingham, Great Britain",Residential,,Deloitte LLP,"High Steet Harborne Birmingham Great Britain High Steet, Harborne, Birmingham, Great Britain Residential nan Deloitte LLP","high steet harborne birmingham great britain high steet, harborne, birmingham, great britain residential  deloitte llp","['high', 'steet', 'harborne', 'birmingham', 'great', 'britain', 'high', 'steet', ',', 'harborne', ',', 'birmingham', ',', 'great', 'britain', 'residential', 'deloitte', 'llp']",high steet harborne birmingham great britain high steet harborne birmingham great britain residential deloitte llp,13
661,,Irving Street,,Birmingham,Great Britain,"Irving Street, Birmingham, Great Britain",Residential,,KPMG LLP,"Irving Street nan Birmingham Great Britain Irving Street, Birmingham, Great Britain Residential nan KPMG LLP","irving street  birmingham great britain irving street, birmingham, great britain residential  kpmg llp","['irving', 'street', 'birmingham', 'great', 'britain', 'irving', 'street', ',', 'birmingham', ',', 'great', 'britain', 'residential', 'kpmg', 'llp']",irving street birmingham great britain irving street birmingham great britain residential kpmg llp,13
662,,Irving Street,,Birmingham,Great Britain,"Irving Street, Birmingham, Great Britain",Development - Not Commenced,,KPMG LLP,"Irving Street nan Birmingham Great Britain Irving Street, Birmingham, Great Britain Development - Not Commenced nan KPMG LLP","irving street  birmingham great britain irving street, birmingham, great britain development - not commenced  kpmg llp","['irving', 'street', 'birmingham', 'great', 'britain', 'irving', 'street', ',', 'birmingham', ',', 'great', 'britain', 'development', '-', 'not', 'commenced', 'kpmg', 'llp']",irving street birmingham great britain irving street birmingham great britain development not commenced kpmg llp,13
663,,Connaught Square,Digbeth,Birmingham B5 6HA,Great Britain,"Connaught Square, Digbeth, Birmingham B5 6HA, Great Britain",Development - Not Commenced,,Begbies Traynor,"Connaught Square Digbeth Birmingham B5 6HA Great Britain Connaught Square, Digbeth, Birmingham B5 6HA, Great Britain Development - Not Commenced nan Begbies Traynor","connaught square digbeth birmingham b5 6ha great britain connaught square, digbeth, birmingham b5 6ha, great britain development - not commenced  begbies traynor","['connaught', 'square', 'digbeth', 'birmingham', 'b5', '6ha', 'great', 'britain', 'connaught', 'square', ',', 'digbeth', ',', 'birmingham', 'b5', '6ha', ',', 'great', 'britain', 'development', '-', 'not', 'commenced', 'begbies', 'traynor']",connaught square digbeth birmingham b5 6ha great britain connaught square digbeth birmingham b5 6ha great britain development not commenced begbies traynor,13
666,,"Denbigh Road,",,"Bletchley, MK1 1",Great Britain,"Denbigh Road,, Bletchley, MK1 1, Great Britain",Industrial,,Capita Symonds,"Denbigh Road, nan Bletchley, MK1 1 Great Britain Denbigh Road,, Bletchley, MK1 1, Great Britain Industrial nan Capita Symonds","denbigh road,  bletchley, mk1 1 great britain denbigh road,, bletchley, mk1 1, great britain industrial  capita symonds","['denbigh', 'road', ',', 'bletchley', ',', 'mk1', '1', 'great', 'britain', 'denbigh', 'road,', ',', 'bletchley', ',', 'mk1', '1', ',', 'great', 'britain', 'industrial', 'capita', 'symonds']","denbigh road bletchley mk1 1 great britain denbigh road, bletchley mk1 1 great britain industrial capita symonds",13
667,,Bridge Street,,Blyth,Great Britain,"Bridge Street, Blyth, Great Britain",Retail,,KPMG LLP,"Bridge Street nan Blyth Great Britain Bridge Street, Blyth, Great Britain Retail nan KPMG LLP","bridge street  blyth great britain bridge street, blyth, great britain retail  kpmg llp","['bridge', 'street', 'blyth', 'great', 'britain', 'bridge', 'street', ',', 'blyth', ',', 'great', 'britain', 'retail', 'kpmg', 'llp']",bridge street blyth great britain bridge street blyth great britain retail kpmg llp,13
