,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
0,,Dolmen Hotel,"Kilkenny Road, Carlow",Carlow,Ireland,"Dolmen Hotel, Kilkenny Road, Carlow, Carlow, Ireland",Hotel,,KPMG,"Dolmen Hotel Kilkenny Road, Carlow Carlow Ireland Dolmen Hotel, Kilkenny Road, Carlow, Carlow, Ireland Hotel nan KPMG","dolmen hotel kilkenny road, carlow carlow ireland dolmen hotel, kilkenny road, carlow, carlow, ireland hotel  kpmg","['dolmen', 'hotel', 'kilkenny', 'road', ',', 'carlow', 'carlow', 'ireland', 'dolmen', 'hotel', ',', 'kilkenny', 'road', ',', 'carlow', ',', 'carlow', ',', 'ireland', 'hotel', 'kpmg']",dolmen hotel kilkenny road carlow carlow ireland dolmen hotel kilkenny road carlow carlow ireland hotel kpmg,3
158,,Castleforbes House,Castleforbes Road,Dublin 1,Ireland,"Castleforbes House, Castleforbes Road, Dublin 1, Ireland",Mixed Use,,Deloitte,"Castleforbes House Castleforbes Road Dublin 1 Ireland Castleforbes House, Castleforbes Road, Dublin 1, Ireland Mixed Use nan Deloitte","castleforbes house castleforbes road dublin_1 ireland castleforbes house, castleforbes road, dublin_1, ireland mixed use deloitte","['castleforbes', 'house', 'castleforbes', 'road', 'dublin_1', 'ireland', 'castleforbes', 'house', ',', 'castleforbes', 'road', ',', 'dublin_1', ',', 'ireland', 'mixed', 'use', 'deloitte']",castleforbes house castleforbes road dublin_1 ireland castleforbes house castleforbes road dublin_1 ireland mixed use deloitte,3
159,,Castleforbes Square,Castleforbes Road,Dublin 1,Ireland,"Castleforbes Square, Castleforbes Road, Dublin 1, Ireland",Residential,,Deloitte,"Castleforbes Square Castleforbes Road Dublin 1 Ireland Castleforbes Square, Castleforbes Road, Dublin 1, Ireland Residential nan Deloitte","castleforbes square castleforbes road dublin_1 ireland castleforbes square, castleforbes road, dublin_1, ireland residential deloitte","['castleforbes', 'square', 'castleforbes', 'road', 'dublin_1', 'ireland', 'castleforbes', 'square', ',', 'castleforbes', 'road', ',', 'dublin_1', ',', 'ireland', 'residential', 'deloitte']",castleforbes square castleforbes road dublin_1 ireland castleforbes square castleforbes road dublin_1 ireland residential deloitte,3
160,,Clarion Hotel,IFSC,Dublin 1,Ireland,"Clarion Hotel, IFSC, Dublin 1, Ireland",Hotel,,KPMG,"Clarion Hotel IFSC Dublin 1 Ireland Clarion Hotel, IFSC, Dublin 1, Ireland Hotel nan KPMG","clarion hotel ifsc dublin_1 ireland clarion hotel, ifsc, dublin_1, ireland hotel kpmg","['clarion', 'hotel', 'ifsc', 'dublin_1', 'ireland', 'clarion', 'hotel', ',', 'ifsc', ',', 'dublin_1', ',', 'ireland', 'hotel', 'kpmg']",clarion hotel ifsc dublin_1 ireland clarion hotel ifsc dublin_1 ireland hotel kpmg,3
161,,Block 1,North Wall Quay,Dublin 1,Ireland,"Block 1, North Wall Quay, Dublin 1, Ireland",Development - Commenced,,McStay Luby,"Block 1 North Wall Quay Dublin 1 Ireland Block 1, North Wall Quay, Dublin 1, Ireland Development - Commenced nan McStay Luby","block 1 north wall quay dublin_1 ireland block 1, north wall quay, dublin_1, ireland development - commenced mcstay luby","['block', '1', 'north', 'wall', 'quay', 'dublin_1', 'ireland', 'block', '1', ',', 'north', 'wall', 'quay', ',', 'dublin_1', ',', 'ireland', 'development', '-', 'commenced', 'mcstay', 'luby']",block 1 north wall quay dublin_1 ireland block 1 north wall quay dublin_1 ireland development commenced mcstay luby,3
162,,Northbank,Sheriff Street,Dublin 1,Ireland,"Northbank, Sheriff Street, Dublin 1, Ireland",Residential,,Deloitte,"Northbank Sheriff Street Dublin 1 Ireland Northbank, Sheriff Street, Dublin 1, Ireland Residential nan Deloitte","northbank sheriff street dublin_1 ireland northbank, sheriff street, dublin_1, ireland residential deloitte","['northbank', 'sheriff', 'street', 'dublin_1', 'ireland', 'northbank', ',', 'sheriff', 'street', ',', 'dublin_1', ',', 'ireland', 'residential', 'deloitte']",northbank sheriff street dublin_1 ireland northbank sheriff street dublin_1 ireland residential deloitte,3
163,,Day's Inn,Talbot Street,Dublin 1,Ireland,"Day's Inn, Talbot Street, Dublin 1, Ireland",Hotel,,KPMG,"Day's Inn Talbot Street Dublin 1 Ireland Day's Inn, Talbot Street, Dublin 1, Ireland Hotel nan KPMG","day's inn talbot street dublin_1 ireland day's inn, talbot street, dublin_1, ireland hotel kpmg","['day', ""'s"", 'inn', 'talbot', 'street', 'dublin_1', 'ireland', 'day', ""'s"", 'inn', ',', 'talbot', 'street', ',', 'dublin_1', ',', 'ireland', 'hotel', 'kpmg']",day 's inn talbot street dublin_1 ireland day 's inn talbot street dublin_1 ireland hotel kpmg,3
164,,Great Strand Street,,Dublin 1,Ireland,"Great Strand Street, Dublin 1, Ireland",Development - Commenced,,Ferris & Associates,"Great Strand Street nan Dublin 1 Ireland Great Strand Street, Dublin 1, Ireland Development - Commenced nan Ferris & Associates","great strand street dublin_1 ireland great strand street, dublin_1, ireland development - commenced ferris & associates","['great', 'strand', 'street', 'dublin_1', 'ireland', 'great', 'strand', 'street', ',', 'dublin_1', ',', 'ireland', 'development', '-', 'commenced', 'ferris', '&', 'associates']",great strand street dublin_1 ireland great strand street dublin_1 ireland development commenced ferris associates,3
165,,Ormond Quay,,Dublin 1,Ireland,"Ormond Quay, Dublin 1, Ireland",Office,,RSM Farrell Grant Sparks,"Ormond Quay nan Dublin 1 Ireland Ormond Quay, Dublin 1, Ireland Office nan RSM Farrell Grant Sparks","ormond quay dublin_1 ireland ormond quay, dublin_1, ireland office rsm farrell grant sparks","['ormond', 'quay', 'dublin_1', 'ireland', 'ormond', 'quay', ',', 'dublin_1', ',', 'ireland', 'office', 'rsm', 'farrell', 'grant', 'sparks']",ormond quay dublin_1 ireland ormond quay dublin_1 ireland office rsm farrell grant sparks,3
166,,"Sheriff St Upper, New
Wapping Street and
Mayor Street Upper",,Dublin 1,Ireland,"Sheriff St Upper, New
Wapping Street and
Mayor Street Upper, Dublin 1, Ireland",Development - Not Commenced,,PwC,"Sheriff St Upper, New
Wapping Street and
Mayor Street Upper nan Dublin 1 Ireland Sheriff St Upper, New
Wapping Street and
Mayor Street Upper, Dublin 1, Ireland Development - Not Commenced nan PwC","sheriff st upper, new wapping street and mayor street upper dublin_1 ireland sheriff st upper, new wapping street and mayor street upper, dublin_1, ireland development - not commenced pwc","['sheriff', 'st', 'upper', ',', 'new', 'wapping', 'street', 'and', 'mayor', 'street', 'upper', 'dublin_1', 'ireland', 'sheriff', 'st', 'upper', ',', 'new', 'wapping', 'street', 'and', 'mayor', 'street', 'upper', ',', 'dublin_1', ',', 'ireland', 'development', '-', 'not', 'commenced', 'pwc']",sheriff st upper new wapping street and mayor street upper dublin_1 ireland sheriff st upper new wapping street and mayor street upper dublin_1 ireland development not commenced pwc,3
