,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
348,,Square D,Ballinasloe,Galway,Ireland,"Square D, Ballinasloe, Galway, Ireland",Industrial,,BDO,"Square D Ballinasloe Galway Ireland Square D, Ballinasloe, Galway, Ireland Industrial nan BDO","square d ballinasloe galway ireland square d, ballinasloe, galway, ireland industrial  bdo","['square', 'd', 'ballinasloe', 'galway', 'ireland', 'square', 'd', ',', 'ballinasloe', ',', 'galway', ',', 'ireland', 'industrial', 'bdo']",square d ballinasloe galway ireland square d ballinasloe galway ireland industrial bdo,4
349,,"Ballybrit Business
Park",Ballybrit,Galway,Ireland,"Ballybrit Business
Park, Ballybrit, Galway, Ireland",Office,,KPMG,"Ballybrit Business
Park Ballybrit Galway Ireland Ballybrit Business
Park, Ballybrit, Galway, Ireland Office nan KPMG","ballybrit business park ballybrit galway ireland ballybrit business park, ballybrit, galway, ireland office  kpmg","['ballybrit', 'business', 'park', 'ballybrit', 'galway', 'ireland', 'ballybrit', 'business', 'park', ',', 'ballybrit', ',', 'galway', ',', 'ireland', 'office', 'kpmg']",ballybrit business park ballybrit galway ireland ballybrit business park ballybrit galway ireland office kpmg,4
350,,"Tir na
gCapall",Ballybrit,Galway,Ireland,"Tir na
gCapall, Ballybrit, Galway, Ireland",Other,"S.50 student
accommodation","National Insolvency Unit,
HBC Limerick","Tir na
gCapall Ballybrit Galway Ireland Tir na
gCapall, Ballybrit, Galway, Ireland Other S.50 student
accommodation National Insolvency Unit,
HBC Limerick","tir na gcapall ballybrit galway ireland tir na gcapall, ballybrit, galway, ireland other s.50 student accommodation national insolvency unit, hbc limerick","['tir', 'na', 'gcapall', 'ballybrit', 'galway', 'ireland', 'tir', 'na', 'gcapall', ',', 'ballybrit', ',', 'galway', ',', 'ireland', 'other', 's.50', 'student', 'accommodation', 'national', 'insolvency', 'unit', ',', 'hbc', 'limerick']",tir na gcapall ballybrit galway ireland tir na gcapall ballybrit galway ireland other s.50 student accommodation national insolvency unit hbc limerick,4
351,,The Meadows,Ballybritt,Galway,Ireland,"The Meadows, Ballybritt, Galway, Ireland",Residential,,"National Insolvency Unit,
HBC Limerick","The Meadows Ballybritt Galway Ireland The Meadows, Ballybritt, Galway, Ireland Residential nan National Insolvency Unit,
HBC Limerick","the meadows ballybritt galway ireland the meadows, ballybritt, galway, ireland residential  national insolvency unit, hbc limerick","['the', 'meadows', 'ballybritt', 'galway', 'ireland', 'the', 'meadows', ',', 'ballybritt', ',', 'galway', ',', 'ireland', 'residential', 'national', 'insolvency', 'unit', ',', 'hbc', 'limerick']",the meadows ballybritt galway ireland the meadows ballybritt galway ireland residential national insolvency unit hbc limerick,4
352,,Cloonee,Ballymoe,Galway,Ireland,"Cloonee, Ballymoe, Galway, Ireland",Agricultural Land,,KPMG,"Cloonee Ballymoe Galway Ireland Cloonee, Ballymoe, Galway, Ireland Agricultural Land nan KPMG","cloonee ballymoe galway ireland cloonee, ballymoe, galway, ireland agricultural land  kpmg","['cloonee', 'ballymoe', 'galway', 'ireland', 'cloonee', ',', 'ballymoe', ',', 'galway', ',', 'ireland', 'agricultural', 'land', 'kpmg']",cloonee ballymoe galway ireland cloonee ballymoe galway ireland agricultural land kpmg,4
353,,"Croughwell Town
Centre",Croughwell,Galway,Ireland,"Croughwell Town
Centre, Croughwell, Galway, Ireland",Mixed Use,,Grant Thornton,"Croughwell Town
Centre Croughwell Galway Ireland Croughwell Town
Centre, Croughwell, Galway, Ireland Mixed Use nan Grant Thornton","croughwell town centre croughwell galway ireland croughwell town centre, croughwell, galway, ireland mixed use  grant thornton","['croughwell', 'town', 'centre', 'croughwell', 'galway', 'ireland', 'croughwell', 'town', 'centre', ',', 'croughwell', ',', 'galway', ',', 'ireland', 'mixed', 'use', 'grant', 'thornton']",croughwell town centre croughwell galway ireland croughwell town centre croughwell galway ireland mixed use grant thornton,4
354,,"Doughiska
Apartments",Doughiska,Galway,Ireland,"Doughiska
Apartments, Doughiska, Galway, Ireland",Residential,,Grant Thornton,"Doughiska
Apartments Doughiska Galway Ireland Doughiska
Apartments, Doughiska, Galway, Ireland Residential nan Grant Thornton","doughiska apartments doughiska galway ireland doughiska apartments, doughiska, galway, ireland residential  grant thornton","['doughiska', 'apartments', 'doughiska', 'galway', 'ireland', 'doughiska', 'apartments', ',', 'doughiska', ',', 'galway', ',', 'ireland', 'residential', 'grant', 'thornton']",doughiska apartments doughiska galway ireland doughiska apartments doughiska galway ireland residential grant thornton,4
355,,"Certain Assets of
Merlin Park",Dublin Road,Galway,Ireland,"Certain Assets of
Merlin Park, Dublin Road, Galway, Ireland",Mixed Use,,RSM Farrell Grant Sparks,"Certain Assets of
Merlin Park Dublin Road Galway Ireland Certain Assets of
Merlin Park, Dublin Road, Galway, Ireland Mixed Use nan RSM Farrell Grant Sparks","certain assets of merlin park dublin road galway ireland certain assets of merlin park, dublin road, galway, ireland mixed use  rsm farrell grant sparks","['certain', 'assets', 'of', 'merlin', 'park', 'dublin', 'road', 'galway', 'ireland', 'certain', 'assets', 'of', 'merlin', 'park', ',', 'dublin', 'road', ',', 'galway', ',', 'ireland', 'mixed', 'use', 'rsm', 'farrell', 'grant', 'sparks']",certain assets of merlin park dublin road galway ireland certain assets of merlin park dublin road galway ireland mixed use rsm farrell grant sparks,4
356,,Frenchville Lane,Eyre Square,Galway,Ireland,"Frenchville Lane, Eyre Square, Galway, Ireland",Other,Hostel,"National Insolvency Unit,
HBC Limerick","Frenchville Lane Eyre Square Galway Ireland Frenchville Lane, Eyre Square, Galway, Ireland Other Hostel National Insolvency Unit,
HBC Limerick","frenchville lane eyre square galway ireland frenchville lane, eyre square, galway, ireland other hostel national insolvency unit, hbc limerick","['frenchville', 'lane', 'eyre', 'square', 'galway', 'ireland', 'frenchville', 'lane', ',', 'eyre', 'square', ',', 'galway', ',', 'ireland', 'other', 'hostel', 'national', 'insolvency', 'unit', ',', 'hbc', 'limerick']",frenchville lane eyre square galway ireland frenchville lane eyre square galway ireland other hostel national insolvency unit hbc limerick,4
357,,"Cul na Coirre, Church
Road",Headford,Galway,Ireland,"Cul na Coirre, Church
Road, Headford, Galway, Ireland",Development - Commenced,,KPMG,"Cul na Coirre, Church
Road Headford Galway Ireland Cul na Coirre, Church
Road, Headford, Galway, Ireland Development - Commenced nan KPMG","cul na coirre, church road headford galway ireland cul na coirre, church road, headford, galway, ireland development - commenced  kpmg","['cul', 'na', 'coirre', ',', 'church', 'road', 'headford', 'galway', 'ireland', 'cul', 'na', 'coirre', ',', 'church', 'road', ',', 'headford', ',', 'galway', ',', 'ireland', 'development', '-', 'commenced', 'kpmg']",cul na coirre church road headford galway ireland cul na coirre church road headford galway ireland development commenced kpmg,4
358,,Barna Road,Knocknacarra,Galway,Ireland,"Barna Road, Knocknacarra, Galway, Ireland",Development - Not Commenced,,"National Insolvency Unit,
HBC Limerick","Barna Road Knocknacarra Galway Ireland Barna Road, Knocknacarra, Galway, Ireland Development - Not Commenced nan National Insolvency Unit,
HBC Limerick","barna road knocknacarra galway ireland barna road, knocknacarra, galway, ireland development - not commenced  national insolvency unit, hbc limerick","['barna', 'road', 'knocknacarra', 'galway', 'ireland', 'barna', 'road', ',', 'knocknacarra', ',', 'galway', ',', 'ireland', 'development', '-', 'not', 'commenced', 'national', 'insolvency', 'unit', ',', 'hbc', 'limerick']",barna road knocknacarra galway ireland barna road knocknacarra galway ireland development not commenced national insolvency unit hbc limerick,4
359,,"Snipe
Avenue",Newcastle,Galway,Ireland,"Snipe
Avenue, Newcastle, Galway, Ireland",Residential,,KPMG,"Snipe
Avenue Newcastle Galway Ireland Snipe
Avenue, Newcastle, Galway, Ireland Residential nan KPMG","snipe avenue newcastle galway ireland snipe avenue, newcastle, galway, ireland residential  kpmg","['snipe', 'avenue', 'newcastle', 'galway', 'ireland', 'snipe', 'avenue', ',', 'newcastle', ',', 'galway', ',', 'ireland', 'residential', 'kpmg']",snipe avenue newcastle galway ireland snipe avenue newcastle galway ireland residential kpmg,4
360,,Abhainn na mBradan,Newtownsmith,Galway,Ireland,"Abhainn na mBradan, Newtownsmith, Galway, Ireland",Mixed Use,,BDO,"Abhainn na mBradan Newtownsmith Galway Ireland Abhainn na mBradan, Newtownsmith, Galway, Ireland Mixed Use nan BDO","abhainn na mbradan newtownsmith galway ireland abhainn na mbradan, newtownsmith, galway, ireland mixed use  bdo","['abhainn', 'na', 'mbradan', 'newtownsmith', 'galway', 'ireland', 'abhainn', 'na', 'mbradan', ',', 'newtownsmith', ',', 'galway', ',', 'ireland', 'mixed', 'use', 'bdo']",abhainn na mbradan newtownsmith galway ireland abhainn na mbradan newtownsmith galway ireland mixed use bdo,4
361,,Arrabawn Centre,Oranmore,Galway,Ireland,"Arrabawn Centre, Oranmore, Galway, Ireland",Mixed Use,,BDO,"Arrabawn Centre Oranmore Galway Ireland Arrabawn Centre, Oranmore, Galway, Ireland Mixed Use nan BDO","arrabawn centre oranmore galway ireland arrabawn centre, oranmore, galway, ireland mixed use  bdo","['arrabawn', 'centre', 'oranmore', 'galway', 'ireland', 'arrabawn', 'centre', ',', 'oranmore', ',', 'galway', ',', 'ireland', 'mixed', 'use', 'bdo']",arrabawn centre oranmore galway ireland arrabawn centre oranmore galway ireland mixed use bdo,4
362,,Bramley,Oranmore,Galway,Ireland,"Bramley, Oranmore, Galway, Ireland",Residential,,Grant Thornton,"Bramley Oranmore Galway Ireland Bramley, Oranmore, Galway, Ireland Residential nan Grant Thornton","bramley oranmore galway ireland bramley, oranmore, galway, ireland residential  grant thornton","['bramley', 'oranmore', 'galway', 'ireland', 'bramley', ',', 'oranmore', ',', 'galway', ',', 'ireland', 'residential', 'grant', 'thornton']",bramley oranmore galway ireland bramley oranmore galway ireland residential grant thornton,4
363,,Bramley,Oranmore,Galway,Ireland,"Bramley, Oranmore, Galway, Ireland",Development - Not Commenced,,Grant Thornton,"Bramley Oranmore Galway Ireland Bramley, Oranmore, Galway, Ireland Development - Not Commenced nan Grant Thornton","bramley oranmore galway ireland bramley, oranmore, galway, ireland development - not commenced  grant thornton","['bramley', 'oranmore', 'galway', 'ireland', 'bramley', ',', 'oranmore', ',', 'galway', ',', 'ireland', 'development', '-', 'not', 'commenced', 'grant', 'thornton']",bramley oranmore galway ireland bramley oranmore galway ireland development not commenced grant thornton,4
364,,Moyvilla,Oranmore,Galway,Ireland,"Moyvilla, Oranmore, Galway, Ireland",Agricultural Land,,"National Insolvency Unit,
HBC Limerick","Moyvilla Oranmore Galway Ireland Moyvilla, Oranmore, Galway, Ireland Agricultural Land nan National Insolvency Unit,
HBC Limerick","moyvilla oranmore galway ireland moyvilla, oranmore, galway, ireland agricultural land  national insolvency unit, hbc limerick","['moyvilla', 'oranmore', 'galway', 'ireland', 'moyvilla', ',', 'oranmore', ',', 'galway', ',', 'ireland', 'agricultural', 'land', 'national', 'insolvency', 'unit', ',', 'hbc', 'limerick']",moyvilla oranmore galway ireland moyvilla oranmore galway ireland agricultural land national insolvency unit hbc limerick,4
365,,"Bun
Caise",Rahoon,Galway,Ireland,"Bun
Caise, Rahoon, Galway, Ireland",Residential,,KPMG,"Bun
Caise Rahoon Galway Ireland Bun
Caise, Rahoon, Galway, Ireland Residential nan KPMG","bun caise rahoon galway ireland bun caise, rahoon, galway, ireland residential  kpmg","['bun', 'caise', 'rahoon', 'galway', 'ireland', 'bun', 'caise', ',', 'rahoon', ',', 'galway', ',', 'ireland', 'residential', 'kpmg']",bun caise rahoon galway ireland bun caise rahoon galway ireland residential kpmg,4
366,,Arus Bun Caise,Rahoon,Galway,Ireland,"Arus Bun Caise, Rahoon, Galway, Ireland",Residential,,KPMG,"Arus Bun Caise Rahoon Galway Ireland Arus Bun Caise, Rahoon, Galway, Ireland Residential nan KPMG","arus bun caise rahoon galway ireland arus bun caise, rahoon, galway, ireland residential  kpmg","['arus', 'bun', 'caise', 'rahoon', 'galway', 'ireland', 'arus', 'bun', 'caise', ',', 'rahoon', ',', 'galway', ',', 'ireland', 'residential', 'kpmg']",arus bun caise rahoon galway ireland arus bun caise rahoon galway ireland residential kpmg,4
367,,Caher,Recess,Galway,Ireland,"Caher, Recess, Galway, Ireland",Residential,,KPMG,"Caher Recess Galway Ireland Caher, Recess, Galway, Ireland Residential nan KPMG","caher recess galway ireland caher, recess, galway, ireland residential  kpmg","['caher', 'recess', 'galway', 'ireland', 'caher', ',', 'recess', ',', 'galway', ',', 'ireland', 'residential', 'kpmg']",caher recess galway ireland caher recess galway ireland residential kpmg,4
368,,An Tulan Cleasach,Spiddal,Galway,Ireland,"An Tulan Cleasach, Spiddal, Galway, Ireland",Residential,,BDO Ireland,"An Tulan Cleasach Spiddal Galway Ireland An Tulan Cleasach, Spiddal, Galway, Ireland Residential nan BDO Ireland","an tulan cleasach spiddal galway ireland an tulan cleasach, spiddal, galway, ireland residential  bdo ireland","['an', 'tulan', 'cleasach', 'spiddal', 'galway', 'ireland', 'an', 'tulan', 'cleasach', ',', 'spiddal', ',', 'galway', ',', 'ireland', 'residential', 'bdo', 'ireland']",an tulan cleasach spiddal galway ireland an tulan cleasach spiddal galway ireland residential bdo ireland,4
369,,Country Meadows,Tuam,Galway,Ireland,"Country Meadows, Tuam, Galway, Ireland",Residential,,KPMG,"Country Meadows Tuam Galway Ireland Country Meadows, Tuam, Galway, Ireland Residential nan KPMG","country meadows tuam galway ireland country meadows, tuam, galway, ireland residential  kpmg","['country', 'meadows', 'tuam', 'galway', 'ireland', 'country', 'meadows', ',', 'tuam', ',', 'galway', ',', 'ireland', 'residential', 'kpmg']",country meadows tuam galway ireland country meadows tuam galway ireland residential kpmg,4
370,,"Cuirt na Cora, Weir
Road",Tuam,Galway,Ireland,"Cuirt na Cora, Weir
Road, Tuam, Galway, Ireland",Development - Commenced,,KPMG,"Cuirt na Cora, Weir
Road Tuam Galway Ireland Cuirt na Cora, Weir
Road, Tuam, Galway, Ireland Development - Commenced nan KPMG","cuirt na cora, weir road tuam galway ireland cuirt na cora, weir road, tuam, galway, ireland development - commenced  kpmg","['cuirt', 'na', 'cora', ',', 'weir', 'road', 'tuam', 'galway', 'ireland', 'cuirt', 'na', 'cora', ',', 'weir', 'road', ',', 'tuam', ',', 'galway', ',', 'ireland', 'development', '-', 'commenced', 'kpmg']",cuirt na cora weir road tuam galway ireland cuirt na cora weir road tuam galway ireland development commenced kpmg,4
