,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
129,,"Certain Assets at Mill
Street",Ballbriggan,Dublin,Ireland,"Certain Assets at Mill
Street, Ballbriggan, Dublin, Ireland",Development - Commenced,,kavanaghfennell,"Certain Assets at Mill
Street Ballbriggan Dublin Ireland Certain Assets at Mill
Street, Ballbriggan, Dublin, Ireland Development - Commenced nan kavanaghfennell","certain assets at mill street ballbriggan dublin ireland certain assets at mill street, ballbriggan, dublin, ireland development - commenced  kavanaghfennell","['certain', 'assets', 'at', 'mill', 'street', 'ballbriggan', 'dublin', 'ireland', 'certain', 'assets', 'at', 'mill', 'street', ',', 'ballbriggan', ',', 'dublin', ',', 'ireland', 'development', '-', 'commenced', 'kavanaghfennell']",certain assets at mill street ballbriggan dublin ireland certain assets at mill street ballbriggan dublin ireland development commenced kavanaghfennell,14
137,,"Certain Assets at
Castle Street",Dalkey,Dublin,Ireland,"Certain Assets at
Castle Street, Dalkey, Dublin, Ireland",Residential,,W.K Nowlan & Associates,"Certain Assets at
Castle Street Dalkey Dublin Ireland Certain Assets at
Castle Street, Dalkey, Dublin, Ireland Residential nan W.K Nowlan & Associates","certain assets at castle street dalkey dublin ireland certain assets at castle street, dalkey, dublin, ireland residential  w.k nowlan & associates","['certain', 'assets', 'at', 'castle', 'street', 'dalkey', 'dublin', 'ireland', 'certain', 'assets', 'at', 'castle', 'street', ',', 'dalkey', ',', 'dublin', ',', 'ireland', 'residential', 'w.k', 'nowlan', '&', 'associates']",certain assets at castle street dalkey dublin ireland certain assets at castle street dalkey dublin ireland residential w.k nowlan associates,14
143,,"Certain Assets at
Glandore Court",Monkstown,Dublin,Ireland,"Certain Assets at
Glandore Court, Monkstown, Dublin, Ireland",Residential,,W.K Nowlan & Associates,"Certain Assets at
Glandore Court Monkstown Dublin Ireland Certain Assets at
Glandore Court, Monkstown, Dublin, Ireland Residential nan W.K Nowlan & Associates","certain assets at glandore court monkstown dublin ireland certain assets at glandore court, monkstown, dublin, ireland residential  w.k nowlan & associates","['certain', 'assets', 'at', 'glandore', 'court', 'monkstown', 'dublin', 'ireland', 'certain', 'assets', 'at', 'glandore', 'court', ',', 'monkstown', ',', 'dublin', ',', 'ireland', 'residential', 'w.k', 'nowlan', '&', 'associates']",certain assets at glandore court monkstown dublin ireland certain assets at glandore court monkstown dublin ireland residential w.k nowlan associates,14
180,,"Certain Assets at
Howth Junction
Court",Kilbarrack Road,Dublin 13,Ireland,"Certain Assets at
Howth Junction
Court, Kilbarrack Road, Dublin 13, Ireland",Residential,,Ferris & Associates,"Certain Assets at
Howth Junction
Court Kilbarrack Road Dublin 13 Ireland Certain Assets at
Howth Junction
Court, Kilbarrack Road, Dublin 13, Ireland Residential nan Ferris & Associates","certain assets at howth junction court kilbarrack road dublin_13 ireland certain assets at howth junction court, kilbarrack road, dublin_13, ireland residential ferris & associates","['certain', 'assets', 'at', 'howth', 'junction', 'court', 'kilbarrack', 'road', 'dublin_13', 'ireland', 'certain', 'assets', 'at', 'howth', 'junction', 'court', ',', 'kilbarrack', 'road', ',', 'dublin_13', ',', 'ireland', 'residential', 'ferris', '&', 'associates']",certain assets at howth junction court kilbarrack road dublin_13 ireland certain assets at howth junction court kilbarrack road dublin_13 ireland residential ferris associates,14
188,,"Certain Assets of
Grove Court",Blanchardstown,Dublin 15,Ireland,"Certain Assets of
Grove Court, Blanchardstown, Dublin 15, Ireland",Mixed Use,,RSM Farrell Grant Sparks,"Certain Assets of
Grove Court Blanchardstown Dublin 15 Ireland Certain Assets of
Grove Court, Blanchardstown, Dublin 15, Ireland Mixed Use nan RSM Farrell Grant Sparks","certain assets of grove court blanchardstown dublin_15 ireland certain assets of grove court, blanchardstown, dublin_15, ireland mixed use rsm farrell grant sparks","['certain', 'assets', 'of', 'grove', 'court', 'blanchardstown', 'dublin_15', 'ireland', 'certain', 'assets', 'of', 'grove', 'court', ',', 'blanchardstown', ',', 'dublin_15', ',', 'ireland', 'mixed', 'use', 'rsm', 'farrell', 'grant', 'sparks']",certain assets of grove court blanchardstown dublin_15 ireland certain assets of grove court blanchardstown dublin_15 ireland mixed use rsm farrell grant sparks,14
197,,"Certain Assets at
Newtown Industrial
Estate",Coolock,Dublin 17,Ireland,"Certain Assets at
Newtown Industrial
Estate, Coolock, Dublin 17, Ireland",Industrial,,Ferris & Associates,"Certain Assets at
Newtown Industrial
Estate Coolock Dublin 17 Ireland Certain Assets at
Newtown Industrial
Estate, Coolock, Dublin 17, Ireland Industrial nan Ferris & Associates","certain assets at newtown industrial estate coolock dublin_17 ireland certain assets at newtown industrial estate, coolock, dublin_17, ireland industrial ferris & associates","['certain', 'assets', 'at', 'newtown', 'industrial', 'estate', 'coolock', 'dublin_17', 'ireland', 'certain', 'assets', 'at', 'newtown', 'industrial', 'estate', ',', 'coolock', ',', 'dublin_17', ',', 'ireland', 'industrial', 'ferris', '&', 'associates']",certain assets at newtown industrial estate coolock dublin_17 ireland certain assets at newtown industrial estate coolock dublin_17 ireland industrial ferris associates,14
198,,"Certain Assets at
Malahide Road
Industrial Park",Coolock,Dublin 17,Ireland,"Certain Assets at
Malahide Road
Industrial Park, Coolock, Dublin 17, Ireland",Industrial,,Ferris & Associates,"Certain Assets at
Malahide Road
Industrial Park Coolock Dublin 17 Ireland Certain Assets at
Malahide Road
Industrial Park, Coolock, Dublin 17, Ireland Industrial nan Ferris & Associates","certain assets at malahide road industrial park coolock dublin_17 ireland certain assets at malahide road industrial park, coolock, dublin_17, ireland industrial ferris & associates","['certain', 'assets', 'at', 'malahide', 'road', 'industrial', 'park', 'coolock', 'dublin_17', 'ireland', 'certain', 'assets', 'at', 'malahide', 'road', 'industrial', 'park', ',', 'coolock', ',', 'dublin_17', ',', 'ireland', 'industrial', 'ferris', '&', 'associates']",certain assets at malahide road industrial park coolock dublin_17 ireland certain assets at malahide road industrial park coolock dublin_17 ireland industrial ferris associates,14
267,,"Certain Assets at
Clontarf Bay",Clontarf Road,Dublin 3,Ireland,"Certain Assets at
Clontarf Bay, Clontarf Road, Dublin 3, Ireland",Mixed Use,,Ferris & Associates,"Certain Assets at
Clontarf Bay Clontarf Road Dublin 3 Ireland Certain Assets at
Clontarf Bay, Clontarf Road, Dublin 3, Ireland Mixed Use nan Ferris & Associates","certain assets at clontarf bay clontarf road dublin_3 ireland certain assets at clontarf bay, clontarf road, dublin_3, ireland mixed use ferris & associates","['certain', 'assets', 'at', 'clontarf', 'bay', 'clontarf', 'road', 'dublin_3', 'ireland', 'certain', 'assets', 'at', 'clontarf', 'bay', ',', 'clontarf', 'road', ',', 'dublin_3', ',', 'ireland', 'mixed', 'use', 'ferris', '&', 'associates']",certain assets at clontarf bay clontarf road dublin_3 ireland certain assets at clontarf bay clontarf road dublin_3 ireland mixed use ferris associates,14
270,,"Certain Assets at
Aldborough Court,
Five Lamps",North Strand Road,Dublin 3,Ireland,"Certain Assets at
Aldborough Court,
Five Lamps, North Strand Road, Dublin 3, Ireland",Mixed Use,,Ferris & Associates,"Certain Assets at
Aldborough Court,
Five Lamps North Strand Road Dublin 3 Ireland Certain Assets at
Aldborough Court,
Five Lamps, North Strand Road, Dublin 3, Ireland Mixed Use nan Ferris & Associates","certain assets at aldborough court, five lamps north strand road dublin_3 ireland certain assets at aldborough court, five lamps, north strand road, dublin_3, ireland mixed use ferris & associates","['certain', 'assets', 'at', 'aldborough', 'court', ',', 'five', 'lamps', 'north', 'strand', 'road', 'dublin_3', 'ireland', 'certain', 'assets', 'at', 'aldborough', 'court', ',', 'five', 'lamps', ',', 'north', 'strand', 'road', ',', 'dublin_3', ',', 'ireland', 'mixed', 'use', 'ferris', '&', 'associates']",certain assets at aldborough court five lamps north strand road dublin_3 ireland certain assets at aldborough court five lamps north strand road dublin_3 ireland mixed use ferris associates,14
271,,"Certain Assets at
North Strand Road",,Dublin 3,Ireland,"Certain Assets at
North Strand Road, Dublin 3, Ireland",Residential,,Ferris & Associates,"Certain Assets at
North Strand Road nan Dublin 3 Ireland Certain Assets at
North Strand Road, Dublin 3, Ireland Residential nan Ferris & Associates","certain assets at north strand road dublin_3 ireland certain assets at north strand road, dublin_3, ireland residential ferris & associates","['certain', 'assets', 'at', 'north', 'strand', 'road', 'dublin_3', 'ireland', 'certain', 'assets', 'at', 'north', 'strand', 'road', ',', 'dublin_3', ',', 'ireland', 'residential', 'ferris', '&', 'associates']",certain assets at north strand road dublin_3 ireland certain assets at north strand road dublin_3 ireland residential ferris associates,14
