,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
377,,Kenmare,,Kerry,Ireland,"Kenmare, Kerry, Ireland",Agricultural Land,,Baker Tilly Ryan Glennon,"Kenmare nan Kerry Ireland Kenmare, Kerry, Ireland Agricultural Land nan Baker Tilly Ryan Glennon","kenmare  kerry ireland kenmare, kerry, ireland agricultural land  baker tilly ryan glennon","['kenmare', 'kerry', 'ireland', 'kenmare', ',', 'kerry', ',', 'ireland', 'agricultural', 'land', 'baker', 'tilly', 'ryan', 'glennon']",kenmare kerry ireland kenmare kerry ireland agricultural land baker tilly ryan glennon,19
378,,Oceanview,Ballyheigue,Kerry,Ireland,"Oceanview, Ballyheigue, Kerry, Ireland",Residential,,Ernst & Young,"Oceanview Ballyheigue Kerry Ireland Oceanview, Ballyheigue, Kerry, Ireland Residential nan Ernst & Young","oceanview ballyheigue kerry ireland oceanview, ballyheigue, kerry, ireland residential  ernst & young","['oceanview', 'ballyheigue', 'kerry', 'ireland', 'oceanview', ',', 'ballyheigue', ',', 'kerry', ',', 'ireland', 'residential', 'ernst', '&', 'young']",oceanview ballyheigue kerry ireland oceanview ballyheigue kerry ireland residential ernst young,19
379,,Main Street,Ballyheigue,Kerry,Ireland,"Main Street, Ballyheigue, Kerry, Ireland",Other,Derelict Garage Site,Ernst & Young,"Main Street Ballyheigue Kerry Ireland Main Street, Ballyheigue, Kerry, Ireland Other Derelict Garage Site Ernst & Young","main street ballyheigue kerry ireland main street, ballyheigue, kerry, ireland other derelict garage site ernst & young","['main', 'street', 'ballyheigue', 'kerry', 'ireland', 'main', 'street', ',', 'ballyheigue', ',', 'kerry', ',', 'ireland', 'other', 'derelict', 'garage', 'site', 'ernst', '&', 'young']",main street ballyheigue kerry ireland main street ballyheigue kerry ireland other derelict garage site ernst young,19
380,,Tomies Close,Beaufort,Kerry,Ireland,"Tomies Close, Beaufort, Kerry, Ireland",Residential,,"National Insolvency Unit,
HBC Limerick","Tomies Close Beaufort Kerry Ireland Tomies Close, Beaufort, Kerry, Ireland Residential nan National Insolvency Unit,
HBC Limerick","tomies close beaufort kerry ireland tomies close, beaufort, kerry, ireland residential  national insolvency unit, hbc limerick","['tomies', 'close', 'beaufort', 'kerry', 'ireland', 'tomies', 'close', ',', 'beaufort', ',', 'kerry', ',', 'ireland', 'residential', 'national', 'insolvency', 'unit', ',', 'hbc', 'limerick']",tomies close beaufort kerry ireland tomies close beaufort kerry ireland residential national insolvency unit hbc limerick,19
381,,Ballycarahan,Caherdaniel,Kerry,Ireland,"Ballycarahan, Caherdaniel, Kerry, Ireland",Residential,,Ernst & Young,"Ballycarahan Caherdaniel Kerry Ireland Ballycarahan, Caherdaniel, Kerry, Ireland Residential nan Ernst & Young","ballycarahan caherdaniel kerry ireland ballycarahan, caherdaniel, kerry, ireland residential  ernst & young","['ballycarahan', 'caherdaniel', 'kerry', 'ireland', 'ballycarahan', ',', 'caherdaniel', ',', 'kerry', ',', 'ireland', 'residential', 'ernst', '&', 'young']",ballycarahan caherdaniel kerry ireland ballycarahan caherdaniel kerry ireland residential ernst young,19
382,,"Cois
Chnoic",Dingle,Kerry,Ireland,"Cois
Chnoic, Dingle, Kerry, Ireland",Residential,,Ernst & Young,"Cois
Chnoic Dingle Kerry Ireland Cois
Chnoic, Dingle, Kerry, Ireland Residential nan Ernst & Young","cois chnoic dingle kerry ireland cois chnoic, dingle, kerry, ireland residential  ernst & young","['cois', 'chnoic', 'dingle', 'kerry', 'ireland', 'cois', 'chnoic', ',', 'dingle', ',', 'kerry', ',', 'ireland', 'residential', 'ernst', '&', 'young']",cois chnoic dingle kerry ireland cois chnoic dingle kerry ireland residential ernst young,19
383,,Murreagh,Dingle,Kerry,Ireland,"Murreagh, Dingle, Kerry, Ireland",Residential,,KPMG,"Murreagh Dingle Kerry Ireland Murreagh, Dingle, Kerry, Ireland Residential nan KPMG","murreagh dingle kerry ireland murreagh, dingle, kerry, ireland residential  kpmg","['murreagh', 'dingle', 'kerry', 'ireland', 'murreagh', ',', 'dingle', ',', 'kerry', ',', 'ireland', 'residential', 'kpmg']",murreagh dingle kerry ireland murreagh dingle kerry ireland residential kpmg,19
384,,"New
Street",Killarney,Kerry,Ireland,"New Street, Killarney, Kerry, Ireland",Mixed Use,,"National Insolvency Unit,
HBC Limerick","New
Street Killarney Kerry Ireland New Street, Killarney, Kerry, Ireland Mixed Use nan National Insolvency Unit,
HBC Limerick","new street killarney kerry ireland new street, killarney, kerry, ireland mixed use  national insolvency unit, hbc limerick","['new', 'street', 'killarney', 'kerry', 'ireland', 'new', 'street', ',', 'killarney', ',', 'kerry', ',', 'ireland', 'mixed', 'use', 'national', 'insolvency', 'unit', ',', 'hbc', 'limerick']",new street killarney kerry ireland new street killarney kerry ireland mixed use national insolvency unit hbc limerick,19
385,,Ballygologue road,Listowel,Kerry,Ireland,"Ballygologue road, Listowel, Kerry, Ireland",Development - Not Commenced,,Ernst & Young,"Ballygologue road Listowel Kerry Ireland Ballygologue road, Listowel, Kerry, Ireland Development - Not Commenced nan Ernst & Young","ballygologue road listowel kerry ireland ballygologue road, listowel, kerry, ireland development - not commenced  ernst & young","['ballygologue', 'road', 'listowel', 'kerry', 'ireland', 'ballygologue', 'road', ',', 'listowel', ',', 'kerry', ',', 'ireland', 'development', '-', 'not', 'commenced', 'ernst', '&', 'young']",ballygologue road listowel kerry ireland ballygologue road listowel kerry ireland development not commenced ernst young,19
386,,"John Joe Sheehy
Road",Tralee,Kerry,Ireland,"John Joe Sheehy
Road, Tralee, Kerry, Ireland",Development - Not Commenced,,Ernst & Young,"John Joe Sheehy
Road Tralee Kerry Ireland John Joe Sheehy
Road, Tralee, Kerry, Ireland Development - Not Commenced nan Ernst & Young","john joe sheehy road tralee kerry ireland john joe sheehy road, tralee, kerry, ireland development - not commenced  ernst & young","['john', 'joe', 'sheehy', 'road', 'tralee', 'kerry', 'ireland', 'john', 'joe', 'sheehy', 'road', ',', 'tralee', ',', 'kerry', ',', 'ireland', 'development', '-', 'not', 'commenced', 'ernst', '&', 'young']",john joe sheehy road tralee kerry ireland john joe sheehy road tralee kerry ireland development not commenced ernst young,19
387,,Manor West,Tralee,Kerry,Ireland,"Manor West, Tralee, Kerry, Ireland",Retail,,Ernst & Young,"Manor West Tralee Kerry Ireland Manor West, Tralee, Kerry, Ireland Retail nan Ernst & Young","manor west tralee kerry ireland manor west, tralee, kerry, ireland retail  ernst & young","['manor', 'west', 'tralee', 'kerry', 'ireland', 'manor', 'west', ',', 'tralee', ',', 'kerry', ',', 'ireland', 'retail', 'ernst', '&', 'young']",manor west tralee kerry ireland manor west tralee kerry ireland retail ernst young,19
388,,Abbeydorney,,Kerry,Ireland,"Abbeydorney, Kerry, Ireland",Public House,,Grant Thornton,"Abbeydorney nan Kerry Ireland Abbeydorney, Kerry, Ireland Public House nan Grant Thornton","abbeydorney  kerry ireland abbeydorney, kerry, ireland public house  grant thornton","['abbeydorney', 'kerry', 'ireland', 'abbeydorney', ',', 'kerry', ',', 'ireland', 'public', 'house', 'grant', 'thornton']",abbeydorney kerry ireland abbeydorney kerry ireland public house grant thornton,19
389,,Lixnaw,,Kerry,Ireland,"Lixnaw, Kerry, Ireland",Development - Commenced,,Grant Thornton,"Lixnaw nan Kerry Ireland Lixnaw, Kerry, Ireland Development - Commenced nan Grant Thornton","lixnaw  kerry ireland lixnaw, kerry, ireland development - commenced  grant thornton","['lixnaw', 'kerry', 'ireland', 'lixnaw', ',', 'kerry', ',', 'ireland', 'development', '-', 'commenced', 'grant', 'thornton']",lixnaw kerry ireland lixnaw kerry ireland development commenced grant thornton,19
390,,Lixnaw,,Kerry,Ireland,"Lixnaw, Kerry, Ireland",Development - Not Commenced,,Grant Thornton,"Lixnaw nan Kerry Ireland Lixnaw, Kerry, Ireland Development - Not Commenced nan Grant Thornton","lixnaw  kerry ireland lixnaw, kerry, ireland development - not commenced  grant thornton","['lixnaw', 'kerry', 'ireland', 'lixnaw', ',', 'kerry', ',', 'ireland', 'development', '-', 'not', 'commenced', 'grant', 'thornton']",lixnaw kerry ireland lixnaw kerry ireland development not commenced grant thornton,19
391,,Firies,,Kerry,Ireland,"Firies, Kerry, Ireland",Development - Commenced,,"National Insolvency Unit,
HBC Limerick","Firies nan Kerry Ireland Firies, Kerry, Ireland Development - Commenced nan National Insolvency Unit,
HBC Limerick","firies  kerry ireland firies, kerry, ireland development - commenced  national insolvency unit, hbc limerick","['firies', 'kerry', 'ireland', 'firies', ',', 'kerry', ',', 'ireland', 'development', '-', 'commenced', 'national', 'insolvency', 'unit', ',', 'hbc', 'limerick']",firies kerry ireland firies kerry ireland development commenced national insolvency unit hbc limerick,19
392,,Beaufort,,Kerry,Ireland,"Beaufort, Kerry, Ireland",Development - Not Commenced,,"National Insolvency Unit,
HBC Limerick","Beaufort nan Kerry Ireland Beaufort, Kerry, Ireland Development - Not Commenced nan National Insolvency Unit,
HBC Limerick","beaufort  kerry ireland beaufort, kerry, ireland development - not commenced  national insolvency unit, hbc limerick","['beaufort', 'kerry', 'ireland', 'beaufort', ',', 'kerry', ',', 'ireland', 'development', '-', 'not', 'commenced', 'national', 'insolvency', 'unit', ',', 'hbc', 'limerick']",beaufort kerry ireland beaufort kerry ireland development not commenced national insolvency unit hbc limerick,19
393,,Rathmore,,Kerry,Ireland,"Rathmore, Kerry, Ireland",Agricultural Land,,"National Insolvency Unit,
HBC Limerick","Rathmore nan Kerry Ireland Rathmore, Kerry, Ireland Agricultural Land nan National Insolvency Unit,
HBC Limerick","rathmore  kerry ireland rathmore, kerry, ireland agricultural land  national insolvency unit, hbc limerick","['rathmore', 'kerry', 'ireland', 'rathmore', ',', 'kerry', ',', 'ireland', 'agricultural', 'land', 'national', 'insolvency', 'unit', ',', 'hbc', 'limerick']",rathmore kerry ireland rathmore kerry ireland agricultural land national insolvency unit hbc limerick,19
