,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
441,,Black Abbey Road,Adare,Limerick,Ireland,"Black Abbey Road, Adare, Limerick, Ireland",Development - Not Commenced,,Grant Thornton,"Black Abbey Road Adare Limerick Ireland Black Abbey Road, Adare, Limerick, Ireland Development - Not Commenced nan Grant Thornton","black abbey road adare limerick ireland black abbey road, adare, limerick, ireland development - not commenced  grant thornton","['black', 'abbey', 'road', 'adare', 'limerick', 'ireland', 'black', 'abbey', 'road', ',', 'adare', ',', 'limerick', ',', 'ireland', 'development', '-', 'not', 'commenced', 'grant', 'thornton']",black abbey road adare limerick ireland black abbey road adare limerick ireland development not commenced grant thornton,17
442,,Chapel Lane,Adare,Limerick,Ireland,"Chapel Lane, Adare, Limerick, Ireland",Residential,,kavanaghfennell,"Chapel Lane Adare Limerick Ireland Chapel Lane, Adare, Limerick, Ireland Residential nan kavanaghfennell","chapel lane adare limerick ireland chapel lane, adare, limerick, ireland residential  kavanaghfennell","['chapel', 'lane', 'adare', 'limerick', 'ireland', 'chapel', 'lane', ',', 'adare', ',', 'limerick', ',', 'ireland', 'residential', 'kavanaghfennell']",chapel lane adare limerick ireland chapel lane adare limerick ireland residential kavanaghfennell,17
443,,Abbots Way,Adare,Limerick,Ireland,"Abbots Way, Adare, Limerick, Ireland",Residential,,kavanaghfennell,"Abbots Way Adare Limerick Ireland Abbots Way, Adare, Limerick, Ireland Residential nan kavanaghfennell","abbots way adare limerick ireland abbots way, adare, limerick, ireland residential  kavanaghfennell","['abbots', 'way', 'adare', 'limerick', 'ireland', 'abbots', 'way', ',', 'adare', ',', 'limerick', ',', 'ireland', 'residential', 'kavanaghfennell']",abbots way adare limerick ireland abbots way adare limerick ireland residential kavanaghfennell,17
444,,Castlecourt,Broad Street,Limerick,Ireland,"Castlecourt, Broad Street, Limerick, Ireland",Residential,,Baker Tilly Ryan Glennon,"Castlecourt Broad Street Limerick Ireland Castlecourt, Broad Street, Limerick, Ireland Residential nan Baker Tilly Ryan Glennon","castlecourt broad street limerick ireland castlecourt, broad street, limerick, ireland residential  baker tilly ryan glennon","['castlecourt', 'broad', 'street', 'limerick', 'ireland', 'castlecourt', ',', 'broad', 'street', ',', 'limerick', ',', 'ireland', 'residential', 'baker', 'tilly', 'ryan', 'glennon']",castlecourt broad street limerick ireland castlecourt broad street limerick ireland residential baker tilly ryan glennon,17
445,,Mossgrove Avenue,Caherdavin,Limerick,Ireland,"Mossgrove Avenue, Caherdavin, Limerick, Ireland",Residential,,Grant Thornton,"Mossgrove Avenue Caherdavin Limerick Ireland Mossgrove Avenue, Caherdavin, Limerick, Ireland Residential nan Grant Thornton","mossgrove avenue caherdavin limerick ireland mossgrove avenue, caherdavin, limerick, ireland residential  grant thornton","['mossgrove', 'avenue', 'caherdavin', 'limerick', 'ireland', 'mossgrove', 'avenue', ',', 'caherdavin', ',', 'limerick', ',', 'ireland', 'residential', 'grant', 'thornton']",mossgrove avenue caherdavin limerick ireland mossgrove avenue caherdavin limerick ireland residential grant thornton,17
446,,Castlerock,Castleconnell,Limerick,Ireland,"Castlerock, Castleconnell, Limerick, Ireland",Development - Commenced,,Baker Tilly Ryan Glennon,"Castlerock Castleconnell Limerick Ireland Castlerock, Castleconnell, Limerick, Ireland Development - Commenced nan Baker Tilly Ryan Glennon","castlerock castleconnell limerick ireland castlerock, castleconnell, limerick, ireland development - commenced  baker tilly ryan glennon","['castlerock', 'castleconnell', 'limerick', 'ireland', 'castlerock', ',', 'castleconnell', ',', 'limerick', ',', 'ireland', 'development', '-', 'commenced', 'baker', 'tilly', 'ryan', 'glennon']",castlerock castleconnell limerick ireland castlerock castleconnell limerick ireland development commenced baker tilly ryan glennon,17
447,,Plassey Road,Castletroy,Limerick,Ireland,"Plassey Road, Castletroy, Limerick, Ireland",Mixed Use,,PwC,"Plassey Road Castletroy Limerick Ireland Plassey Road, Castletroy, Limerick, Ireland Mixed Use nan PwC","plassey road castletroy limerick ireland plassey road, castletroy, limerick, ireland mixed use  pwc","['plassey', 'road', 'castletroy', 'limerick', 'ireland', 'plassey', 'road', ',', 'castletroy', ',', 'limerick', ',', 'ireland', 'mixed', 'use', 'pwc']",plassey road castletroy limerick ireland plassey road castletroy limerick ireland mixed use pwc,17
448,,Plassey Road,Castletroy,Limerick,Ireland,"Plassey Road, Castletroy, Limerick, Ireland",Residential,,PwC,"Plassey Road Castletroy Limerick Ireland Plassey Road, Castletroy, Limerick, Ireland Residential nan PwC","plassey road castletroy limerick ireland plassey road, castletroy, limerick, ireland residential  pwc","['plassey', 'road', 'castletroy', 'limerick', 'ireland', 'plassey', 'road', ',', 'castletroy', ',', 'limerick', ',', 'ireland', 'residential', 'pwc']",plassey road castletroy limerick ireland plassey road castletroy limerick ireland residential pwc,17
449,,Brookfield Hall,Castletroy,Limerick,Ireland,"Brookfield Hall, Castletroy, Limerick, Ireland",Residential,,Ernst & Young,"Brookfield Hall Castletroy Limerick Ireland Brookfield Hall, Castletroy, Limerick, Ireland Residential nan Ernst & Young","brookfield hall castletroy limerick ireland brookfield hall, castletroy, limerick, ireland residential  ernst & young","['brookfield', 'hall', 'castletroy', 'limerick', 'ireland', 'brookfield', 'hall', ',', 'castletroy', ',', 'limerick', ',', 'ireland', 'residential', 'ernst', '&', 'young']",brookfield hall castletroy limerick ireland brookfield hall castletroy limerick ireland residential ernst young,17
450,,Brookville Gardens,Clareview,Limerick,Ireland,"Brookville Gardens, Clareview, Limerick, Ireland",Residential,,Grant Thornton,"Brookville Gardens Clareview Limerick Ireland Brookville Gardens, Clareview, Limerick, Ireland Residential nan Grant Thornton","brookville gardens clareview limerick ireland brookville gardens, clareview, limerick, ireland residential  grant thornton","['brookville', 'gardens', 'clareview', 'limerick', 'ireland', 'brookville', 'gardens', ',', 'clareview', ',', 'limerick', ',', 'ireland', 'residential', 'grant', 'thornton']",brookville gardens clareview limerick ireland brookville gardens clareview limerick ireland residential grant thornton,17
