,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
656,,"development site,
Station Road",Denbigh,Bangor,Great Britain,"Station Road, Denbigh, Bangor, Great Britain",Development - Not Commenced,,Begbies Traynor (Central) LLP,"development site,
Station Road Denbigh Bangor Great Britain Station Road, Denbigh, Bangor, Great Britain Development - Not Commenced nan Begbies Traynor (Central) LLP","development site, station road denbigh bangor great britain station road, denbigh, bangor, great britain development - not commenced  begbies traynor (central) llp","['development', 'site', ',', 'station', 'road', 'denbigh', 'bangor', 'great', 'britain', 'station', 'road', ',', 'denbigh', ',', 'bangor', ',', 'great', 'britain', 'development', '-', 'not', 'commenced', 'begbies', 'traynor', '(', 'central', ')', 'llp']",development site station road denbigh bangor great britain station road denbigh bangor great britain development not commenced begbies traynor central llp,16
670,,"Dukes Court, Duke
Street",Macclesfield,Cheshire,Great Britain,"Dukes Court, Duke
Street, Macclesfield, Cheshire, Great Britain",Mixed Use,,Begbies Traynor (Central) LLP,"Dukes Court, Duke
Street Macclesfield Cheshire Great Britain Dukes Court, Duke
Street, Macclesfield, Cheshire, Great Britain Mixed Use nan Begbies Traynor (Central) LLP","dukes court, duke street macclesfield cheshire great britain dukes court, duke street, macclesfield, cheshire, great britain mixed use  begbies traynor (central) llp","['dukes', 'court', ',', 'duke', 'street', 'macclesfield', 'cheshire', 'great', 'britain', 'dukes', 'court', ',', 'duke', 'street', ',', 'macclesfield', ',', 'cheshire', ',', 'great', 'britain', 'mixed', 'use', 'begbies', 'traynor', '(', 'central', ')', 'llp']",dukes court duke street macclesfield cheshire great britain dukes court duke street macclesfield cheshire great britain mixed use begbies traynor central llp,16
671,,Duke Street,Macclesfield,Cheshire,Great Britain,"Duke Street, Macclesfield, Cheshire, Great Britain",Retail,,Begbies Traynor (Central) LLP,"Duke Street Macclesfield Cheshire Great Britain Duke Street, Macclesfield, Cheshire, Great Britain Retail nan Begbies Traynor (Central) LLP","duke street macclesfield cheshire great britain duke street, macclesfield, cheshire, great britain retail  begbies traynor (central) llp","['duke', 'street', 'macclesfield', 'cheshire', 'great', 'britain', 'duke', 'street', ',', 'macclesfield', ',', 'cheshire', ',', 'great', 'britain', 'retail', 'begbies', 'traynor', '(', 'central', ')', 'llp']",duke street macclesfield cheshire great britain duke street macclesfield cheshire great britain retail begbies traynor central llp,16
672,,Duke Street,Macclesfield,Cheshire,Great Britain,"Duke Street, Macclesfield, Cheshire, Great Britain",Retail,,Begbies Traynor (Central) LLP,"Duke Street Macclesfield Cheshire Great Britain Duke Street, Macclesfield, Cheshire, Great Britain Retail nan Begbies Traynor (Central) LLP","duke street macclesfield cheshire great britain duke street, macclesfield, cheshire, great britain retail  begbies traynor (central) llp","['duke', 'street', 'macclesfield', 'cheshire', 'great', 'britain', 'duke', 'street', ',', 'macclesfield', ',', 'cheshire', ',', 'great', 'britain', 'retail', 'begbies', 'traynor', '(', 'central', ')', 'llp']",duke street macclesfield cheshire great britain duke street macclesfield cheshire great britain retail begbies traynor central llp,16
673,,Duke Street,Macclesfield,Cheshire,Great Britain,"Duke Street, Macclesfield, Cheshire, Great Britain",Retail,,Begbies Traynor (Central) LLP,"Duke Street Macclesfield Cheshire Great Britain Duke Street, Macclesfield, Cheshire, Great Britain Retail nan Begbies Traynor (Central) LLP","duke street macclesfield cheshire great britain duke street, macclesfield, cheshire, great britain retail  begbies traynor (central) llp","['duke', 'street', 'macclesfield', 'cheshire', 'great', 'britain', 'duke', 'street', ',', 'macclesfield', ',', 'cheshire', ',', 'great', 'britain', 'retail', 'begbies', 'traynor', '(', 'central', ')', 'llp']",duke street macclesfield cheshire great britain duke street macclesfield cheshire great britain retail begbies traynor central llp,16
674,,Mill Street,Macclesfield,Cheshire,Great Britain,"Mill Street, Macclesfield, Cheshire, Great Britain",Retail,,Begbies Traynor (Central) LLP,"Mill Street Macclesfield Cheshire Great Britain Mill Street, Macclesfield, Cheshire, Great Britain Retail nan Begbies Traynor (Central) LLP","mill street macclesfield cheshire great britain mill street, macclesfield, cheshire, great britain retail  begbies traynor (central) llp","['mill', 'street', 'macclesfield', 'cheshire', 'great', 'britain', 'mill', 'street', ',', 'macclesfield', ',', 'cheshire', ',', 'great', 'britain', 'retail', 'begbies', 'traynor', '(', 'central', ')', 'llp']",mill street macclesfield cheshire great britain mill street macclesfield cheshire great britain retail begbies traynor central llp,16
675,,Mill Street,Macclesfield,Cheshire,Great Britain,"Mill Street, Macclesfield, Cheshire, Great Britain",Retail,,Begbies Traynor (Central) LLP,"Mill Street Macclesfield Cheshire Great Britain Mill Street, Macclesfield, Cheshire, Great Britain Retail nan Begbies Traynor (Central) LLP","mill street macclesfield cheshire great britain mill street, macclesfield, cheshire, great britain retail  begbies traynor (central) llp","['mill', 'street', 'macclesfield', 'cheshire', 'great', 'britain', 'mill', 'street', ',', 'macclesfield', ',', 'cheshire', ',', 'great', 'britain', 'retail', 'begbies', 'traynor', '(', 'central', ')', 'llp']",mill street macclesfield cheshire great britain mill street macclesfield cheshire great britain retail begbies traynor central llp,16
676,,Mill Street,Macclesfield,Cheshire,Great Britain,"Mill Street, Macclesfield, Cheshire, Great Britain",Retail,,Begbies Traynor (Central) LLP,"Mill Street Macclesfield Cheshire Great Britain Mill Street, Macclesfield, Cheshire, Great Britain Retail nan Begbies Traynor (Central) LLP","mill street macclesfield cheshire great britain mill street, macclesfield, cheshire, great britain retail  begbies traynor (central) llp","['mill', 'street', 'macclesfield', 'cheshire', 'great', 'britain', 'mill', 'street', ',', 'macclesfield', ',', 'cheshire', ',', 'great', 'britain', 'retail', 'begbies', 'traynor', '(', 'central', ')', 'llp']",mill street macclesfield cheshire great britain mill street macclesfield cheshire great britain retail begbies traynor central llp,16
688,,"The Tempest and
Ellenbank","Cliff Road, Seaford",East Sussex,Great Britain,"The Tempest and
Ellenbank, Cliff Road, Seaford, East Sussex, Great Britain",Development - Not Commenced,,Begbies Traynor (Central) LLP,"The Tempest and
Ellenbank Cliff Road, Seaford East Sussex Great Britain The Tempest and
Ellenbank, Cliff Road, Seaford, East Sussex, Great Britain Development - Not Commenced nan Begbies Traynor (Central) LLP","the tempest and ellenbank cliff road, seaford east sussex great britain the tempest and ellenbank, cliff road, seaford, east sussex, great britain development - not commenced  begbies traynor (central) llp","['the', 'tempest', 'and', 'ellenbank', 'cliff', 'road', ',', 'seaford', 'east', 'sussex', 'great', 'britain', 'the', 'tempest', 'and', 'ellenbank', ',', 'cliff', 'road', ',', 'seaford', ',', 'east', 'sussex', ',', 'great', 'britain', 'development', '-', 'not', 'commenced', 'begbies', 'traynor', '(', 'central', ')', 'llp']",the tempest and ellenbank cliff road seaford east sussex great britain the tempest and ellenbank cliff road seaford east sussex great britain development not commenced begbies traynor central llp,16
700,,"High
Street",Bangor,Gwynedd,Great Britain,"High
Street, Bangor, Gwynedd, Great Britain",Other,Car park,Begbies Traynor (Central) LLP,"High
Street Bangor Gwynedd Great Britain High
Street, Bangor, Gwynedd, Great Britain Other Car park Begbies Traynor (Central) LLP","high street bangor gwynedd great britain high street, bangor, gwynedd, great britain other car park begbies traynor (central) llp","['high', 'street', 'bangor', 'gwynedd', 'great', 'britain', 'high', 'street', ',', 'bangor', ',', 'gwynedd', ',', 'great', 'britain', 'other', 'car', 'park', 'begbies', 'traynor', '(', 'central', ')', 'llp']",high street bangor gwynedd great britain high street bangor gwynedd great britain other car park begbies traynor central llp,16
701,,High Street,Bangor,Gwynedd,Great Britain,"High Street, Bangor, Gwynedd, Great Britain",Retail,,Begbies Traynor (Central) LLP,"High Street Bangor Gwynedd Great Britain High Street, Bangor, Gwynedd, Great Britain Retail nan Begbies Traynor (Central) LLP","high street bangor gwynedd great britain high street, bangor, gwynedd, great britain retail  begbies traynor (central) llp","['high', 'street', 'bangor', 'gwynedd', 'great', 'britain', 'high', 'street', ',', 'bangor', ',', 'gwynedd', ',', 'great', 'britain', 'retail', 'begbies', 'traynor', '(', 'central', ')', 'llp']",high street bangor gwynedd great britain high street bangor gwynedd great britain retail begbies traynor central llp,16
702,,High Street,Bangor,Gwynedd,Great Britain,"High Street, Bangor, Gwynedd, Great Britain",Retail,,Begbies Traynor (Central) LLP,"High Street Bangor Gwynedd Great Britain High Street, Bangor, Gwynedd, Great Britain Retail nan Begbies Traynor (Central) LLP","high street bangor gwynedd great britain high street, bangor, gwynedd, great britain retail  begbies traynor (central) llp","['high', 'street', 'bangor', 'gwynedd', 'great', 'britain', 'high', 'street', ',', 'bangor', ',', 'gwynedd', ',', 'great', 'britain', 'retail', 'begbies', 'traynor', '(', 'central', ')', 'llp']",high street bangor gwynedd great britain high street bangor gwynedd great britain retail begbies traynor central llp,16
703,,High Street,Bangor,Gwynedd,Great Britain,"High Street, Bangor, Gwynedd, Great Britain",Retail,,Begbies Traynor (Central) LLP,"High Street Bangor Gwynedd Great Britain High Street, Bangor, Gwynedd, Great Britain Retail nan Begbies Traynor (Central) LLP","high street bangor gwynedd great britain high street, bangor, gwynedd, great britain retail  begbies traynor (central) llp","['high', 'street', 'bangor', 'gwynedd', 'great', 'britain', 'high', 'street', ',', 'bangor', ',', 'gwynedd', ',', 'great', 'britain', 'retail', 'begbies', 'traynor', '(', 'central', ')', 'llp']",high street bangor gwynedd great britain high street bangor gwynedd great britain retail begbies traynor central llp,16
704,,High Street,Bangor,Gwynedd,Great Britain,"High Street, Bangor, Gwynedd, Great Britain",Retail,,Begbies Traynor (Central) LLP,"High Street Bangor Gwynedd Great Britain High Street, Bangor, Gwynedd, Great Britain Retail nan Begbies Traynor (Central) LLP","high street bangor gwynedd great britain high street, bangor, gwynedd, great britain retail  begbies traynor (central) llp","['high', 'street', 'bangor', 'gwynedd', 'great', 'britain', 'high', 'street', ',', 'bangor', ',', 'gwynedd', ',', 'great', 'britain', 'retail', 'begbies', 'traynor', '(', 'central', ')', 'llp']",high street bangor gwynedd great britain high street bangor gwynedd great britain retail begbies traynor central llp,16
705,,"High
Street",Bangor,Gwynedd,Great Britain,"High
Street, Bangor, Gwynedd, Great Britain",Retail,,Begbies Traynor (Central) LLP,"High
Street Bangor Gwynedd Great Britain High
Street, Bangor, Gwynedd, Great Britain Retail nan Begbies Traynor (Central) LLP","high street bangor gwynedd great britain high street, bangor, gwynedd, great britain retail  begbies traynor (central) llp","['high', 'street', 'bangor', 'gwynedd', 'great', 'britain', 'high', 'street', ',', 'bangor', ',', 'gwynedd', ',', 'great', 'britain', 'retail', 'begbies', 'traynor', '(', 'central', ')', 'llp']",high street bangor gwynedd great britain high street bangor gwynedd great britain retail begbies traynor central llp,16
706,,High Street,Bangor,Gwynedd,Great Britain,"High Street, Bangor, Gwynedd, Great Britain",Retail,,Begbies Traynor (Central) LLP,"High Street Bangor Gwynedd Great Britain High Street, Bangor, Gwynedd, Great Britain Retail nan Begbies Traynor (Central) LLP","high street bangor gwynedd great britain high street, bangor, gwynedd, great britain retail  begbies traynor (central) llp","['high', 'street', 'bangor', 'gwynedd', 'great', 'britain', 'high', 'street', ',', 'bangor', ',', 'gwynedd', ',', 'great', 'britain', 'retail', 'begbies', 'traynor', '(', 'central', ')', 'llp']",high street bangor gwynedd great britain high street bangor gwynedd great britain retail begbies traynor central llp,16
707,,The Menai Centre,Bangor,Gwynedd,Great Britain,"The Menai Centre, Bangor, Gwynedd, Great Britain",Retail,,Begbies Traynor (Central) LLP,"The Menai Centre Bangor Gwynedd Great Britain The Menai Centre, Bangor, Gwynedd, Great Britain Retail nan Begbies Traynor (Central) LLP","the menai centre bangor gwynedd great britain the menai centre, bangor, gwynedd, great britain retail  begbies traynor (central) llp","['the', 'menai', 'centre', 'bangor', 'gwynedd', 'great', 'britain', 'the', 'menai', 'centre', ',', 'bangor', ',', 'gwynedd', ',', 'great', 'britain', 'retail', 'begbies', 'traynor', '(', 'central', ')', 'llp']",the menai centre bangor gwynedd great britain the menai centre bangor gwynedd great britain retail begbies traynor central llp,16
