,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
395,,The Maltings,Athy,Kildare,Ireland,"The Maltings, Athy, Kildare, Ireland",Residential,,Ferris & Associates,"The Maltings Athy Kildare Ireland The Maltings, Athy, Kildare, Ireland Residential nan Ferris & Associates","the maltings athy kildare ireland the maltings, athy, kildare, ireland residential  ferris & associates","['the', 'maltings', 'athy', 'kildare', 'ireland', 'the', 'maltings', ',', 'athy', ',', 'kildare', ',', 'ireland', 'residential', 'ferris', '&', 'associates']",the maltings athy kildare ireland the maltings athy kildare ireland residential ferris associates,7
396,,"The Hall, Yew Tree
Square",Clane,Kildare,Ireland,"The Hall, Yew Tree
Square, Clane, Kildare, Ireland",Residential,,Mazars,"The Hall, Yew Tree
Square Clane Kildare Ireland The Hall, Yew Tree
Square, Clane, Kildare, Ireland Residential nan Mazars","the hall, yew tree square clane kildare ireland the hall, yew tree square, clane, kildare, ireland residential  mazars","['the', 'hall', ',', 'yew', 'tree', 'square', 'clane', 'kildare', 'ireland', 'the', 'hall', ',', 'yew', 'tree', 'square', ',', 'clane', ',', 'kildare', ',', 'ireland', 'residential', 'mazars']",the hall yew tree square clane kildare ireland the hall yew tree square clane kildare ireland residential mazars,7
397,,"The Manor, Yew Tree
Square",Clane,Kildare,Ireland,"The Manor, Yew Tree
Square, Clane, Kildare, Ireland",Residential,,Mazars,"The Manor, Yew Tree
Square Clane Kildare Ireland The Manor, Yew Tree
Square, Clane, Kildare, Ireland Residential nan Mazars","the manor, yew tree square clane kildare ireland the manor, yew tree square, clane, kildare, ireland residential  mazars","['the', 'manor', ',', 'yew', 'tree', 'square', 'clane', 'kildare', 'ireland', 'the', 'manor', ',', 'yew', 'tree', 'square', ',', 'clane', ',', 'kildare', ',', 'ireland', 'residential', 'mazars']",the manor yew tree square clane kildare ireland the manor yew tree square clane kildare ireland residential mazars,7
398,,Yew Tree Square,Clane,Kildare,Ireland,"Yew Tree Square, Clane, Kildare, Ireland",Retail,,Mazars,"Yew Tree Square Clane Kildare Ireland Yew Tree Square, Clane, Kildare, Ireland Retail nan Mazars","yew tree square clane kildare ireland yew tree square, clane, kildare, ireland retail  mazars","['yew', 'tree', 'square', 'clane', 'kildare', 'ireland', 'yew', 'tree', 'square', ',', 'clane', ',', 'kildare', ',', 'ireland', 'retail', 'mazars']",yew tree square clane kildare ireland yew tree square clane kildare ireland retail mazars,7
399,,"Palmerstown House
Estate","Johnstown, Naas",Kildare,Ireland,"Palmerstown House
Estate, Johnstown, Naas, Kildare, Ireland",Mixed Use,,KPMG,"Palmerstown House
Estate Johnstown, Naas Kildare Ireland Palmerstown House
Estate, Johnstown, Naas, Kildare, Ireland Mixed Use nan KPMG","palmerstown house estate johnstown, naas kildare ireland palmerstown house estate, johnstown, naas, kildare, ireland mixed use  kpmg","['palmerstown', 'house', 'estate', 'johnstown', ',', 'naas', 'kildare', 'ireland', 'palmerstown', 'house', 'estate', ',', 'johnstown', ',', 'naas', ',', 'kildare', ',', 'ireland', 'mixed', 'use', 'kpmg']",palmerstown house estate johnstown naas kildare ireland palmerstown house estate johnstown naas kildare ireland mixed use kpmg,7
400,,"The
Paddocks",Kildangan,Kildare,Ireland,"The
Paddocks, Kildangan, Kildare, Ireland",Residential,,Ferris & Associates,"The
Paddocks Kildangan Kildare Ireland The
Paddocks, Kildangan, Kildare, Ireland Residential nan Ferris & Associates","the paddocks kildangan kildare ireland the paddocks, kildangan, kildare, ireland residential  ferris & associates","['the', 'paddocks', 'kildangan', 'kildare', 'ireland', 'the', 'paddocks', ',', 'kildangan', ',', 'kildare', ',', 'ireland', 'residential', 'ferris', '&', 'associates']",the paddocks kildangan kildare ireland the paddocks kildangan kildare ireland residential ferris associates,7
401,,Weston Airport,Leixlip,Kildare,Ireland,"Weston Airport, Leixlip, Kildare, Ireland",Other,Airport,KPMG,"Weston Airport Leixlip Kildare Ireland Weston Airport, Leixlip, Kildare, Ireland Other Airport KPMG","weston airport leixlip kildare ireland weston airport, leixlip, kildare, ireland other airport kpmg","['weston', 'airport', 'leixlip', 'kildare', 'ireland', 'weston', 'airport', ',', 'leixlip', ',', 'kildare', ',', 'ireland', 'other', 'airport', 'kpmg']",weston airport leixlip kildare ireland weston airport leixlip kildare ireland other airport kpmg,7
402,,"Glenroyal Hotel &
Leisure Centre",Maynooth,Kildare,Ireland,"Glenroyal Hotel &
Leisure Centre, Maynooth, Kildare, Ireland",Hotel property,,Grant Thornton,"Glenroyal Hotel &
Leisure Centre Maynooth Kildare Ireland Glenroyal Hotel &
Leisure Centre, Maynooth, Kildare, Ireland Hotel property nan Grant Thornton","glenroyal hotel & leisure centre maynooth kildare ireland glenroyal hotel & leisure centre, maynooth, kildare, ireland hotel property  grant thornton","['glenroyal', 'hotel', '&', 'leisure', 'centre', 'maynooth', 'kildare', 'ireland', 'glenroyal', 'hotel', '&', 'leisure', 'centre', ',', 'maynooth', ',', 'kildare', ',', 'ireland', 'hotel', 'property', 'grant', 'thornton']",glenroyal hotel leisure centre maynooth kildare ireland glenroyal hotel leisure centre maynooth kildare ireland hotel property grant thornton,7
403,,"Certain Blocks at
Maynooth Business
Campus",Maynooth,Kildare,Ireland,"Certain Blocks at
Maynooth Business
Campus, Maynooth, Kildare, Ireland",Mixed Use,,Grant Thornton,"Certain Blocks at
Maynooth Business
Campus Maynooth Kildare Ireland Certain Blocks at
Maynooth Business
Campus, Maynooth, Kildare, Ireland Mixed Use nan Grant Thornton","certain blocks at maynooth business campus maynooth kildare ireland certain blocks at maynooth business campus, maynooth, kildare, ireland mixed use  grant thornton","['certain', 'blocks', 'at', 'maynooth', 'business', 'campus', 'maynooth', 'kildare', 'ireland', 'certain', 'blocks', 'at', 'maynooth', 'business', 'campus', ',', 'maynooth', ',', 'kildare', ',', 'ireland', 'mixed', 'use', 'grant', 'thornton']",certain blocks at maynooth business campus maynooth kildare ireland certain blocks at maynooth business campus maynooth kildare ireland mixed use grant thornton,7
404,,Newtown,Maynooth,Kildare,Ireland,"Newtown, Maynooth, Kildare, Ireland",Agricultural Land,,PwC,"Newtown Maynooth Kildare Ireland Newtown, Maynooth, Kildare, Ireland Agricultural Land nan PwC","newtown maynooth kildare ireland newtown, maynooth, kildare, ireland agricultural land  pwc","['newtown', 'maynooth', 'kildare', 'ireland', 'newtown', ',', 'maynooth', ',', 'kildare', ',', 'ireland', 'agricultural', 'land', 'pwc']",newtown maynooth kildare ireland newtown maynooth kildare ireland agricultural land pwc,7
405,,"Moyvalley Hotel &
Golf Club",Moyvalley,Kildare,Ireland,"Moyvalley Hotel &
Golf Club, Moyvalley, Kildare, Ireland",Other,Hotel and Golf Club,KPMG,"Moyvalley Hotel &
Golf Club Moyvalley Kildare Ireland Moyvalley Hotel &
Golf Club, Moyvalley, Kildare, Ireland Other Hotel and Golf Club KPMG","moyvalley hotel & golf club moyvalley kildare ireland moyvalley hotel & golf club, moyvalley, kildare, ireland other hotel and golf club kpmg","['moyvalley', 'hotel', '&', 'golf', 'club', 'moyvalley', 'kildare', 'ireland', 'moyvalley', 'hotel', '&', 'golf', 'club', ',', 'moyvalley', ',', 'kildare', ',', 'ireland', 'other', 'hotel', 'and', 'golf', 'club', 'kpmg']",moyvalley hotel golf club moyvalley kildare ireland moyvalley hotel golf club moyvalley kildare ireland other hotel and golf club kpmg,7
406,,Abbey Street,Naas,Kildare,Ireland,"Abbey Street, Naas, Kildare, Ireland",Retail,,McStay Luby,"Abbey Street Naas Kildare Ireland Abbey Street, Naas, Kildare, Ireland Retail nan McStay Luby","abbey street naas kildare ireland abbey street, naas, kildare, ireland retail  mcstay luby","['abbey', 'street', 'naas', 'kildare', 'ireland', 'abbey', 'street', ',', 'naas', ',', 'kildare', ',', 'ireland', 'retail', 'mcstay', 'luby']",abbey street naas kildare ireland abbey street naas kildare ireland retail mcstay luby,7
407,,"Craddockstown
Court",Naas,Kildare,Ireland,"Craddockstown
Court, Naas, Kildare, Ireland",Development - Commenced,,Grant Thornton,"Craddockstown
Court Naas Kildare Ireland Craddockstown
Court, Naas, Kildare, Ireland Development - Commenced nan Grant Thornton","craddockstown court naas kildare ireland craddockstown court, naas, kildare, ireland development - commenced  grant thornton","['craddockstown', 'court', 'naas', 'kildare', 'ireland', 'craddockstown', 'court', ',', 'naas', ',', 'kildare', ',', 'ireland', 'development', '-', 'commenced', 'grant', 'thornton']",craddockstown court naas kildare ireland craddockstown court naas kildare ireland development commenced grant thornton,7
409,,Walshestown,Newbridge,Kildare,Ireland,"Walshestown, Newbridge, Kildare, Ireland",Development - Not Commenced,,Mazars,"Walshestown Newbridge Kildare Ireland Walshestown, Newbridge, Kildare, Ireland Development - Not Commenced nan Mazars","walshestown newbridge kildare ireland walshestown, newbridge, kildare, ireland development - not commenced  mazars","['walshestown', 'newbridge', 'kildare', 'ireland', 'walshestown', ',', 'newbridge', ',', 'kildare', ',', 'ireland', 'development', '-', 'not', 'commenced', 'mazars']",walshestown newbridge kildare ireland walshestown newbridge kildare ireland development not commenced mazars,7
410,,Capella Court,Newbridge,Kildare,Ireland,"Capella Court, Newbridge, Kildare, Ireland",Residential,,Mazars,"Capella Court Newbridge Kildare Ireland Capella Court, Newbridge, Kildare, Ireland Residential nan Mazars","capella court newbridge kildare ireland capella court, newbridge, kildare, ireland residential  mazars","['capella', 'court', 'newbridge', 'kildare', 'ireland', 'capella', 'court', ',', 'newbridge', ',', 'kildare', ',', 'ireland', 'residential', 'mazars']",capella court newbridge kildare ireland capella court newbridge kildare ireland residential mazars,7
411,,Sweep Lane,Nurney,Kildare,Ireland,"Sweep Lane, Nurney, Kildare, Ireland",Agricultural Land,,PwC,"Sweep Lane Nurney Kildare Ireland Sweep Lane, Nurney, Kildare, Ireland Agricultural Land nan PwC","sweep lane nurney kildare ireland sweep lane, nurney, kildare, ireland agricultural land  pwc","['sweep', 'lane', 'nurney', 'kildare', 'ireland', 'sweep', 'lane', ',', 'nurney', ',', 'kildare', ',', 'ireland', 'agricultural', 'land', 'pwc']",sweep lane nurney kildare ireland sweep lane nurney kildare ireland agricultural land pwc,7
412,,Bridge Street,Rathangan,Kildare,Ireland,"Bridge Street, Rathangan, Kildare, Ireland",Development - Not Commenced,,KPMG,"Bridge Street Rathangan Kildare Ireland Bridge Street, Rathangan, Kildare, Ireland Development - Not Commenced nan KPMG","bridge street rathangan kildare ireland bridge street, rathangan, kildare, ireland development - not commenced  kpmg","['bridge', 'street', 'rathangan', 'kildare', 'ireland', 'bridge', 'street', ',', 'rathangan', ',', 'kildare', ',', 'ireland', 'development', '-', 'not', 'commenced', 'kpmg']",bridge street rathangan kildare ireland bridge street rathangan kildare ireland development not commenced kpmg,7
