,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
273,,"Northumberland
Road",Ballsbridge,Dublin 4,Ireland,"Northumberland
Road, Ballsbridge, Dublin 4, Ireland",Retail,,RSM Farrell Grant Sparks,"Northumberland
Road Ballsbridge Dublin 4 Ireland Northumberland
Road, Ballsbridge, Dublin 4, Ireland Retail nan RSM Farrell Grant Sparks","northumberland road ballsbridge dublin_4 ireland northumberland road, ballsbridge, dublin_4, ireland retail rsm farrell grant sparks","['northumberland', 'road', 'ballsbridge', 'dublin_4', 'ireland', 'northumberland', 'road', ',', 'ballsbridge', ',', 'dublin_4', ',', 'ireland', 'retail', 'rsm', 'farrell', 'grant', 'sparks']",northumberland road ballsbridge dublin_4 ireland northumberland road ballsbridge dublin_4 ireland retail rsm farrell grant sparks,10
274,,"Booterstown Marsh,
Merrion Road",Ballsbridge,Dublin 4,Ireland,"Booterstown Marsh,
Merrion Road, Ballsbridge, Dublin 4, Ireland",Development - Not Commenced,,RSM Farrell Grant Sparks,"Booterstown Marsh,
Merrion Road Ballsbridge Dublin 4 Ireland Booterstown Marsh,
Merrion Road, Ballsbridge, Dublin 4, Ireland Development - Not Commenced nan RSM Farrell Grant Sparks","booterstown marsh, merrion road ballsbridge dublin_4 ireland booterstown marsh, merrion road, ballsbridge, dublin_4, ireland development - not commenced rsm farrell grant sparks","['booterstown', 'marsh', ',', 'merrion', 'road', 'ballsbridge', 'dublin_4', 'ireland', 'booterstown', 'marsh', ',', 'merrion', 'road', ',', 'ballsbridge', ',', 'dublin_4', ',', 'ireland', 'development', '-', 'not', 'commenced', 'rsm', 'farrell', 'grant', 'sparks']",booterstown marsh merrion road ballsbridge dublin_4 ireland booterstown marsh merrion road ballsbridge dublin_4 ireland development not commenced rsm farrell grant sparks,10
275,,Merrion Road,Ballsbridge,Dublin 4,Ireland,"Merrion Road, Ballsbridge, Dublin 4, Ireland",Mixed Use,,RSM Farrell Grant Sparks,"Merrion Road Ballsbridge Dublin 4 Ireland Merrion Road, Ballsbridge, Dublin 4, Ireland Mixed Use nan RSM Farrell Grant Sparks","merrion road ballsbridge dublin_4 ireland merrion road, ballsbridge, dublin_4, ireland mixed use rsm farrell grant sparks","['merrion', 'road', 'ballsbridge', 'dublin_4', 'ireland', 'merrion', 'road', ',', 'ballsbridge', ',', 'dublin_4', ',', 'ireland', 'mixed', 'use', 'rsm', 'farrell', 'grant', 'sparks']",merrion road ballsbridge dublin_4 ireland merrion road ballsbridge dublin_4 ireland mixed use rsm farrell grant sparks,10
276,,"Veterinary College
Site UCD",Ballsbridge,Dublin 4,Ireland,"Veterinary College
Site UCD, Ballsbridge, Dublin 4, Ireland",Development - Not Commenced,,Grant Thornton,"Veterinary College
Site UCD Ballsbridge Dublin 4 Ireland Veterinary College
Site UCD, Ballsbridge, Dublin 4, Ireland Development - Not Commenced nan Grant Thornton","veterinary college site ucd ballsbridge dublin_4 ireland veterinary college site ucd, ballsbridge, dublin_4, ireland development - not commenced grant thornton","['veterinary', 'college', 'site', 'ucd', 'ballsbridge', 'dublin_4', 'ireland', 'veterinary', 'college', 'site', 'ucd', ',', 'ballsbridge', ',', 'dublin_4', ',', 'ireland', 'development', '-', 'not', 'commenced', 'grant', 'thornton']",veterinary college site ucd ballsbridge dublin_4 ireland veterinary college site ucd ballsbridge dublin_4 ireland development not commenced grant thornton,10
277,,Elgin Road,Ballsbridge,Dublin 4,Ireland,"Elgin Road, Ballsbridge, Dublin 4, Ireland",Residential,,Knight Frank Ireland,"Elgin Road Ballsbridge Dublin 4 Ireland Elgin Road, Ballsbridge, Dublin 4, Ireland Residential nan Knight Frank Ireland","elgin road ballsbridge dublin_4 ireland elgin road, ballsbridge, dublin_4, ireland residential knight frank ireland","['elgin', 'road', 'ballsbridge', 'dublin_4', 'ireland', 'elgin', 'road', ',', 'ballsbridge', ',', 'dublin_4', ',', 'ireland', 'residential', 'knight', 'frank', 'ireland']",elgin road ballsbridge dublin_4 ireland elgin road ballsbridge dublin_4 ireland residential knight frank ireland,10
278,,Raglan Road,Ballsbridge,Dublin 4,Ireland,"Raglan Road, Ballsbridge, Dublin 4, Ireland",Office,,Knight Frank Ireland,"Raglan Road Ballsbridge Dublin 4 Ireland Raglan Road, Ballsbridge, Dublin 4, Ireland Office nan Knight Frank Ireland","raglan road ballsbridge dublin_4 ireland raglan road, ballsbridge, dublin_4, ireland office knight frank ireland","['raglan', 'road', 'ballsbridge', 'dublin_4', 'ireland', 'raglan', 'road', ',', 'ballsbridge', ',', 'dublin_4', ',', 'ireland', 'office', 'knight', 'frank', 'ireland']",raglan road ballsbridge dublin_4 ireland raglan road ballsbridge dublin_4 ireland office knight frank ireland,10
279,,Ailesbury Road,Ballsbridge,Dublin 4,Ireland,"Ailesbury Road, Ballsbridge, Dublin 4, Ireland",Residential,,Knight Frank Ireland,"Ailesbury Road Ballsbridge Dublin 4 Ireland Ailesbury Road, Ballsbridge, Dublin 4, Ireland Residential nan Knight Frank Ireland","ailesbury road ballsbridge dublin_4 ireland ailesbury road, ballsbridge, dublin_4, ireland residential knight frank ireland","['ailesbury', 'road', 'ballsbridge', 'dublin_4', 'ireland', 'ailesbury', 'road', ',', 'ballsbridge', ',', 'dublin_4', ',', 'ireland', 'residential', 'knight', 'frank', 'ireland']",ailesbury road ballsbridge dublin_4 ireland ailesbury road ballsbridge dublin_4 ireland residential knight frank ireland,10
280,,Ailesbury Wood,Ballsbridge,Dublin 4,Ireland,"Ailesbury Wood, Ballsbridge, Dublin 4, Ireland",Residential,,Knight Frank Ireland,"Ailesbury Wood Ballsbridge Dublin 4 Ireland Ailesbury Wood, Ballsbridge, Dublin 4, Ireland Residential nan Knight Frank Ireland","ailesbury wood ballsbridge dublin_4 ireland ailesbury wood, ballsbridge, dublin_4, ireland residential knight frank ireland","['ailesbury', 'wood', 'ballsbridge', 'dublin_4', 'ireland', 'ailesbury', 'wood', ',', 'ballsbridge', ',', 'dublin_4', ',', 'ireland', 'residential', 'knight', 'frank', 'ireland']",ailesbury wood ballsbridge dublin_4 ireland ailesbury wood ballsbridge dublin_4 ireland residential knight frank ireland,10
281,,Merrion Road,Ballsbridge,Dublin 4,Ireland,"Merrion Road, Ballsbridge, Dublin 4, Ireland",Residential,,Mazars,"Merrion Road Ballsbridge Dublin 4 Ireland Merrion Road, Ballsbridge, Dublin 4, Ireland Residential nan Mazars","merrion road ballsbridge dublin_4 ireland merrion road, ballsbridge, dublin_4, ireland residential mazars","['merrion', 'road', 'ballsbridge', 'dublin_4', 'ireland', 'merrion', 'road', ',', 'ballsbridge', ',', 'dublin_4', ',', 'ireland', 'residential', 'mazars']",merrion road ballsbridge dublin_4 ireland merrion road ballsbridge dublin_4 ireland residential mazars,10
282,,Pembroke Road,Ballsbridge,Dublin 4,Ireland,"Pembroke Road, Ballsbridge, Dublin 4, Ireland",Mixed Use,,RSM Farrell Grant Sparks,"Pembroke Road Ballsbridge Dublin 4 Ireland Pembroke Road, Ballsbridge, Dublin 4, Ireland Mixed Use nan RSM Farrell Grant Sparks","pembroke road ballsbridge dublin_4 ireland pembroke road, ballsbridge, dublin_4, ireland mixed use rsm farrell grant sparks","['pembroke', 'road', 'ballsbridge', 'dublin_4', 'ireland', 'pembroke', 'road', ',', 'ballsbridge', ',', 'dublin_4', ',', 'ireland', 'mixed', 'use', 'rsm', 'farrell', 'grant', 'sparks']",pembroke road ballsbridge dublin_4 ireland pembroke road ballsbridge dublin_4 ireland mixed use rsm farrell grant sparks,10
