,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
659,,Hamilton Street,,"Birkenhead CH41
5AD",Great Britain,"Hamilton Street, Birkenhead CH41
5AD, Great Britain",Public House,,PricewaterhouseCoopers LLP,"Hamilton Street nan Birkenhead CH41
5AD Great Britain Hamilton Street, Birkenhead CH41
5AD, Great Britain Public House nan PricewaterhouseCoopers LLP","hamilton street  birkenhead ch41 5ad great britain hamilton street, birkenhead ch41 5ad, great britain public house  pricewaterhousecoopers llp","['hamilton', 'street', 'birkenhead', 'ch41', '5ad', 'great', 'britain', 'hamilton', 'street', ',', 'birkenhead', 'ch41', '5ad', ',', 'great', 'britain', 'public', 'house', 'pricewaterhousecoopers', 'llp']",hamilton street birkenhead ch41 5ad great britain hamilton street birkenhead ch41 5ad great britain public house pricewaterhousecoopers llp,1
669,,Rochdale Road,,Bury BL9 7AY,Great Britain,"Rochdale Road, Bury BL9 7AY, Great Britain",Public House,,PricewaterhouseCoopers LLP,"Rochdale Road nan Bury BL9 7AY Great Britain Rochdale Road, Bury BL9 7AY, Great Britain Public House nan PricewaterhouseCoopers LLP","rochdale road  bury bl9 7ay great britain rochdale road, bury bl9 7ay, great britain public house  pricewaterhousecoopers llp","['rochdale', 'road', 'bury', 'bl9', '7ay', 'great', 'britain', 'rochdale', 'road', ',', 'bury', 'bl9', '7ay', ',', 'great', 'britain', 'public', 'house', 'pricewaterhousecoopers', 'llp']",rochdale road bury bl9 7ay great britain rochdale road bury bl9 7ay great britain public house pricewaterhousecoopers llp,1
677,,Station Road,North Wingfield,Chesterfield S42 5JJ,Great Britain,"Station Road, North Wingfield, Chesterfield S42 5JJ, Great Britain",Public House,,PricewaterhouseCoopers LLP,"Station Road North Wingfield Chesterfield S42 5JJ Great Britain Station Road, North Wingfield, Chesterfield S42 5JJ, Great Britain Public House nan PricewaterhouseCoopers LLP","station road north wingfield chesterfield s42 5jj great britain station road, north wingfield, chesterfield s42 5jj, great britain public house  pricewaterhousecoopers llp","['station', 'road', 'north', 'wingfield', 'chesterfield', 's42', '5jj', 'great', 'britain', 'station', 'road', ',', 'north', 'wingfield', ',', 'chesterfield', 's42', '5jj', ',', 'great', 'britain', 'public', 'house', 'pricewaterhousecoopers', 'llp']",station road north wingfield chesterfield s42 5jj great britain station road north wingfield chesterfield s42 5jj great britain public house pricewaterhousecoopers llp,1
685,,Fore Street,Chudleigh,Devon TQ13 0HT,Great Britain,"Fore Street, Chudleigh, Devon TQ13 0HT, Great Britain",Public House,,PricewaterhouseCoopers LLP,"Fore Street Chudleigh Devon TQ13 0HT Great Britain Fore Street, Chudleigh, Devon TQ13 0HT, Great Britain Public House nan PricewaterhouseCoopers LLP","fore street chudleigh devon tq13 0ht great britain fore street, chudleigh, devon tq13 0ht, great britain public house  pricewaterhousecoopers llp","['fore', 'street', 'chudleigh', 'devon', 'tq13', '0ht', 'great', 'britain', 'fore', 'street', ',', 'chudleigh', ',', 'devon', 'tq13', '0ht', ',', 'great', 'britain', 'public', 'house', 'pricewaterhousecoopers', 'llp']",fore street chudleigh devon tq13 0ht great britain fore street chudleigh devon tq13 0ht great britain public house pricewaterhousecoopers llp,1
698,,Whiteshill,Stroud,"Gloucestershire GL6
6AE",Great Britain,"Whiteshill, Stroud, Gloucestershire GL6
6AE, Great Britain",Public House,,PricewaterhouseCoopers LLP,"Whiteshill Stroud Gloucestershire GL6
6AE Great Britain Whiteshill, Stroud, Gloucestershire GL6
6AE, Great Britain Public House nan PricewaterhouseCoopers LLP","whiteshill stroud gloucestershire gl6 6ae great britain whiteshill, stroud, gloucestershire gl6 6ae, great britain public house  pricewaterhousecoopers llp","['whiteshill', 'stroud', 'gloucestershire', 'gl6', '6ae', 'great', 'britain', 'whiteshill', ',', 'stroud', ',', 'gloucestershire', 'gl6', '6ae', ',', 'great', 'britain', 'public', 'house', 'pricewaterhousecoopers', 'llp']",whiteshill stroud gloucestershire gl6 6ae great britain whiteshill stroud gloucestershire gl6 6ae great britain public house pricewaterhousecoopers llp,1
729,,Ashbourne Road,,Leek ST13 5AP,Great Britain,"Ashbourne Road, Leek ST13 5AP, Great Britain",Public House,,PricewaterhouseCoopers LLP,"Ashbourne Road nan Leek ST13 5AP Great Britain Ashbourne Road, Leek ST13 5AP, Great Britain Public House nan PricewaterhouseCoopers LLP","ashbourne road  leek st13 5ap great britain ashbourne road, leek st13 5ap, great britain public house  pricewaterhousecoopers llp","['ashbourne', 'road', 'leek', 'st13', '5ap', 'great', 'britain', 'ashbourne', 'road', ',', 'leek', 'st13', '5ap', ',', 'great', 'britain', 'public', 'house', 'pricewaterhousecoopers', 'llp']",ashbourne road leek st13 5ap great britain ashbourne road leek st13 5ap great britain public house pricewaterhousecoopers llp,1
735,,Main Street,Greetham,"Leicestershire LE15
7NL",Great Britain,"Main Street, Greetham, Leicestershire LE15
7NL, Great Britain",Public House,,PricewaterhouseCoopers LLP,"Main Street Greetham Leicestershire LE15
7NL Great Britain Main Street, Greetham, Leicestershire LE15
7NL, Great Britain Public House nan PricewaterhouseCoopers LLP","main street greetham leicestershire le15 7nl great britain main street, greetham, leicestershire le15 7nl, great britain public house  pricewaterhousecoopers llp","['main', 'street', 'greetham', 'leicestershire', 'le15', '7nl', 'great', 'britain', 'main', 'street', ',', 'greetham', ',', 'leicestershire', 'le15', '7nl', ',', 'great', 'britain', 'public', 'house', 'pricewaterhousecoopers', 'llp']",main street greetham leicestershire le15 7nl great britain main street greetham leicestershire le15 7nl great britain public house pricewaterhousecoopers llp,1
776,,St Peter's Road,,Netherton DY2 8HS,Great Britain,"St Peter's Road, Netherton DY2 8HS, Great Britain",Public House,,PricewaterhouseCoopers LLP,"St Peter's Road nan Netherton DY2 8HS Great Britain St Peter's Road, Netherton DY2 8HS, Great Britain Public House nan PricewaterhouseCoopers LLP","st peter's road  netherton dy2 8hs great britain st peter's road, netherton dy2 8hs, great britain public house  pricewaterhousecoopers llp","['st', 'peter', ""'s"", 'road', 'netherton', 'dy2', '8hs', 'great', 'britain', 'st', 'peter', ""'s"", 'road', ',', 'netherton', 'dy2', '8hs', ',', 'great', 'britain', 'public', 'house', 'pricewaterhousecoopers', 'llp']",st peter 's road netherton dy2 8hs great britain st peter 's road netherton dy2 8hs great britain public house pricewaterhousecoopers llp,1
779,,Paradise Place,,Plymouth PL1 5QU,Great Britain,"Paradise Place, Plymouth PL1 5QU, Great Britain",Public House,,PricewaterhouseCoopers LLP,"Paradise Place nan Plymouth PL1 5QU Great Britain Paradise Place, Plymouth PL1 5QU, Great Britain Public House nan PricewaterhouseCoopers LLP","paradise place  plymouth pl1 5qu great britain paradise place, plymouth pl1 5qu, great britain public house  pricewaterhousecoopers llp","['paradise', 'place', 'plymouth', 'pl1', '5qu', 'great', 'britain', 'paradise', 'place', ',', 'plymouth', 'pl1', '5qu', ',', 'great', 'britain', 'public', 'house', 'pricewaterhousecoopers', 'llp']",paradise place plymouth pl1 5qu great britain paradise place plymouth pl1 5qu great britain public house pricewaterhousecoopers llp,1
780,,Benbow Street,,Plymouth PL2 1BX,Great Britain,"Benbow Street, Plymouth PL2 1BX, Great Britain",Public House,,PricewaterhouseCoopers LLP,"Benbow Street nan Plymouth PL2 1BX Great Britain Benbow Street, Plymouth PL2 1BX, Great Britain Public House nan PricewaterhouseCoopers LLP","benbow street  plymouth pl2 1bx great britain benbow street, plymouth pl2 1bx, great britain public house  pricewaterhousecoopers llp","['benbow', 'street', 'plymouth', 'pl2', '1bx', 'great', 'britain', 'benbow', 'street', ',', 'plymouth', 'pl2', '1bx', ',', 'great', 'britain', 'public', 'house', 'pricewaterhousecoopers', 'llp']",benbow street plymouth pl2 1bx great britain benbow street plymouth pl2 1bx great britain public house pricewaterhousecoopers llp,1
