,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
682,,"Former Stephenson's
Dye Works",Ambergate,Derbyshire,Great Britain,"Former Stephenson's
Dye Works, Ambergate, Derbyshire, Great Britain",Development - Not Commenced,,Grant Thornton UK LLP,"Former Stephenson's
Dye Works Ambergate Derbyshire Great Britain Former Stephenson's
Dye Works, Ambergate, Derbyshire, Great Britain Development - Not Commenced nan Grant Thornton UK LLP","former stephenson's dye works ambergate derbyshire great britain former stephenson's dye works, ambergate, derbyshire, great britain development - not commenced  grant thornton uk llp","['former', 'stephenson', ""'s"", 'dye', 'works', 'ambergate', 'derbyshire', 'great', 'britain', 'former', 'stephenson', ""'s"", 'dye', 'works', ',', 'ambergate', ',', 'derbyshire', ',', 'great', 'britain', 'development', '-', 'not', 'commenced', 'grant', 'thornton', 'uk', 'llp']",former stephenson 's dye works ambergate derbyshire great britain former stephenson 's dye works ambergate derbyshire great britain development not commenced grant thornton uk llp,11
687,,Arcadia Centre,The Broadway,"Ealing, W5 2ND",Great Britain,"Arcadia Centre, The Broadway, Ealing, W5 2ND, Great Britain",Retail,,Grant Thornton UK LLP,"Arcadia Centre The Broadway Ealing, W5 2ND Great Britain Arcadia Centre, The Broadway, Ealing, W5 2ND, Great Britain Retail nan Grant Thornton UK LLP","arcadia centre the broadway ealing, w5 2nd great britain arcadia centre, the broadway, ealing, w5 2nd, great britain retail  grant thornton uk llp","['arcadia', 'centre', 'the', 'broadway', 'ealing', ',', 'w5', '2nd', 'great', 'britain', 'arcadia', 'centre', ',', 'the', 'broadway', ',', 'ealing', ',', 'w5', '2nd', ',', 'great', 'britain', 'retail', 'grant', 'thornton', 'uk', 'llp']",arcadia centre the broadway ealing w5 2nd great britain arcadia centre the broadway ealing w5 2nd great britain retail grant thornton uk llp,11
690,,Lochinvar Drive,,Edinburgh EH5 1GJ,Great Britain,"Lochinvar Drive, Edinburgh EH5 1GJ, Great Britain",Residential,,Grant Thornton UK LLP,"Lochinvar Drive nan Edinburgh EH5 1GJ Great Britain Lochinvar Drive, Edinburgh EH5 1GJ, Great Britain Residential nan Grant Thornton UK LLP","lochinvar drive  edinburgh eh5 1gj great britain lochinvar drive, edinburgh eh5 1gj, great britain residential  grant thornton uk llp","['lochinvar', 'drive', 'edinburgh', 'eh5', '1gj', 'great', 'britain', 'lochinvar', 'drive', ',', 'edinburgh', 'eh5', '1gj', ',', 'great', 'britain', 'residential', 'grant', 'thornton', 'uk', 'llp']",lochinvar drive edinburgh eh5 1gj great britain lochinvar drive edinburgh eh5 1gj great britain residential grant thornton uk llp,11
691,,Lower Granton Road,,Edinburgh EH5 1GL,Great Britain,"Lower Granton Road, Edinburgh EH5 1GL, Great Britain",Residential,,Grant Thornton UK LLP,"Lower Granton Road nan Edinburgh EH5 1GL Great Britain Lower Granton Road, Edinburgh EH5 1GL, Great Britain Residential nan Grant Thornton UK LLP","lower granton road  edinburgh eh5 1gl great britain lower granton road, edinburgh eh5 1gl, great britain residential  grant thornton uk llp","['lower', 'granton', 'road', 'edinburgh', 'eh5', '1gl', 'great', 'britain', 'lower', 'granton', 'road', ',', 'edinburgh', 'eh5', '1gl', ',', 'great', 'britain', 'residential', 'grant', 'thornton', 'uk', 'llp']",lower granton road edinburgh eh5 1gl great britain lower granton road edinburgh eh5 1gl great britain residential grant thornton uk llp,11
714,,Heron Square,Binfield,Isle of Wight,Great Britain,"Heron Square, Binfield, Isle of Wight, Great Britain",Other,Holiday Home,BDO LLP,"Heron Square Binfield Isle of Wight Great Britain Heron Square, Binfield, Isle of Wight, Great Britain Other Holiday Home BDO LLP","heron square binfield isle of wight great britain heron square, binfield, isle of wight, great britain other holiday home bdo llp","['heron', 'square', 'binfield', 'isle', 'of', 'wight', 'great', 'britain', 'heron', 'square', ',', 'binfield', ',', 'isle', 'of', 'wight', ',', 'great', 'britain', 'other', 'holiday', 'home', 'bdo', 'llp']",heron square binfield isle of wight great britain heron square binfield isle of wight great britain other holiday home bdo llp,11
715,,Cormorant Grove,Binfield,Isle of Wight,Great Britain,"Cormorant Grove, Binfield, Isle of Wight, Great Britain",Other,Holiday Home,BDO LLP,"Cormorant Grove Binfield Isle of Wight Great Britain Cormorant Grove, Binfield, Isle of Wight, Great Britain Other Holiday Home BDO LLP","cormorant grove binfield isle of wight great britain cormorant grove, binfield, isle of wight, great britain other holiday home bdo llp","['cormorant', 'grove', 'binfield', 'isle', 'of', 'wight', 'great', 'britain', 'cormorant', 'grove', ',', 'binfield', ',', 'isle', 'of', 'wight', ',', 'great', 'britain', 'other', 'holiday', 'home', 'bdo', 'llp']",cormorant grove binfield isle of wight great britain cormorant grove binfield isle of wight great britain other holiday home bdo llp,11
716,,"Island Harbour, Mill
Lane",Binfield,Isle of Wight,Great Britain,"Island Harbour, Mill
Lane, Binfield, Isle of Wight, Great Britain",Other,Marina,BDO LLP,"Island Harbour, Mill
Lane Binfield Isle of Wight Great Britain Island Harbour, Mill
Lane, Binfield, Isle of Wight, Great Britain Other Marina BDO LLP","island harbour, mill lane binfield isle of wight great britain island harbour, mill lane, binfield, isle of wight, great britain other marina bdo llp","['island', 'harbour', ',', 'mill', 'lane', 'binfield', 'isle', 'of', 'wight', 'great', 'britain', 'island', 'harbour', ',', 'mill', 'lane', ',', 'binfield', ',', 'isle', 'of', 'wight', ',', 'great', 'britain', 'other', 'marina', 'bdo', 'llp']",island harbour mill lane binfield isle of wight great britain island harbour mill lane binfield isle of wight great britain other marina bdo llp,11
717,,"Certain property at
Mill Lane",Binfield,Isle of Wight,Great Britain,"Certain property at
Mill Lane, Binfield, Isle of Wight, Great Britain",Development - Not Commenced,,BDO LLP,"Certain property at
Mill Lane Binfield Isle of Wight Great Britain Certain property at
Mill Lane, Binfield, Isle of Wight, Great Britain Development - Not Commenced nan BDO LLP","certain property at mill lane binfield isle of wight great britain certain property at mill lane, binfield, isle of wight, great britain development - not commenced  bdo llp","['certain', 'property', 'at', 'mill', 'lane', 'binfield', 'isle', 'of', 'wight', 'great', 'britain', 'certain', 'property', 'at', 'mill', 'lane', ',', 'binfield', ',', 'isle', 'of', 'wight', ',', 'great', 'britain', 'development', '-', 'not', 'commenced', 'bdo', 'llp']",certain property at mill lane binfield isle of wight great britain certain property at mill lane binfield isle of wight great britain development not commenced bdo llp,11
718,,"Certain property Mill
Lane",Binfield,Isle of Wight,Great Britain,"Certain property Mill
Lane, Binfield, Isle of Wight, Great Britain",Residential,,BDO LLP,"Certain property Mill
Lane Binfield Isle of Wight Great Britain Certain property Mill
Lane, Binfield, Isle of Wight, Great Britain Residential nan BDO LLP","certain property mill lane binfield isle of wight great britain certain property mill lane, binfield, isle of wight, great britain residential  bdo llp","['certain', 'property', 'mill', 'lane', 'binfield', 'isle', 'of', 'wight', 'great', 'britain', 'certain', 'property', 'mill', 'lane', ',', 'binfield', ',', 'isle', 'of', 'wight', ',', 'great', 'britain', 'residential', 'bdo', 'llp']",certain property mill lane binfield isle of wight great britain certain property mill lane binfield isle of wight great britain residential bdo llp,11
738,,Brook Street,,Liverpool,Great Britain,"Brook Street, Liverpool, Great Britain",Mixed Use,,Grant Thornton UK LLP,"Brook Street nan Liverpool Great Britain Brook Street, Liverpool, Great Britain Mixed Use nan Grant Thornton UK LLP","brook street  liverpool great britain brook street, liverpool, great britain mixed use  grant thornton uk llp","['brook', 'street', 'liverpool', 'great', 'britain', 'brook', 'street', ',', 'liverpool', ',', 'great', 'britain', 'mixed', 'use', 'grant', 'thornton', 'uk', 'llp']",brook street liverpool great britain brook street liverpool great britain mixed use grant thornton uk llp,11
