,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
113,,Blue Cedars,Ballybofey,Donegal,Ireland,"Blue Cedars, Ballybofey, Donegal, Ireland",Residential,,Keenan Corporate Finance,"Blue Cedars Ballybofey Donegal Ireland Blue Cedars, Ballybofey, Donegal, Ireland Residential nan Keenan Corporate Finance","blue cedars ballybofey donegal ireland blue cedars, ballybofey, donegal, ireland residential  kee corporate fice","['blue', 'cedars', 'ballybofey', 'donegal', 'ireland', 'blue', 'cedars', ',', 'ballybofey', ',', 'donegal', ',', 'ireland', 'residential', 'kee', 'corporate', 'fice']",blue cedars ballybofey donegal ireland blue cedars ballybofey donegal ireland residential kee corporate fice,12
114,,Cappry,Ballybofey,Donegal,Ireland,"Cappry, Ballybofey, Donegal, Ireland",Development - Not Commenced,,Keenan Corporate Finance,"Cappry Ballybofey Donegal Ireland Cappry, Ballybofey, Donegal, Ireland Development - Not Commenced nan Keenan Corporate Finance","cappry ballybofey donegal ireland cappry, ballybofey, donegal, ireland development - not commenced  kee corporate fice","['cappry', 'ballybofey', 'donegal', 'ireland', 'cappry', ',', 'ballybofey', ',', 'donegal', ',', 'ireland', 'development', '-', 'not', 'commenced', 'kee', 'corporate', 'fice']",cappry ballybofey donegal ireland cappry ballybofey donegal ireland development not commenced kee corporate fice,12
115,,Carrownamaddy,Burt,Donegal,Ireland,"Carrownamaddy, Burt, Donegal, Ireland",Development - Commenced,,Keenan Corporate Finance,"Carrownamaddy Burt Donegal Ireland Carrownamaddy, Burt, Donegal, Ireland Development - Commenced nan Keenan Corporate Finance","carrownamaddy burt donegal ireland carrownamaddy, burt, donegal, ireland development - commenced  kee corporate fice","['carrownamaddy', 'burt', 'donegal', 'ireland', 'carrownamaddy', ',', 'burt', ',', 'donegal', ',', 'ireland', 'development', '-', 'commenced', 'kee', 'corporate', 'fice']",carrownamaddy burt donegal ireland carrownamaddy burt donegal ireland development commenced kee corporate fice,12
116,,Sheephaven Bay,Carrigart,Donegal,Ireland,"Sheephaven Bay, Carrigart, Donegal, Ireland",Other,Two golf courses,kavanaghfennell,"Sheephaven Bay Carrigart Donegal Ireland Sheephaven Bay, Carrigart, Donegal, Ireland Other Two golf courses kavanaghfennell","sheephaven bay carrigart donegal ireland sheephaven bay, carrigart, donegal, ireland other two golf courses kavanaghfennell","['sheephaven', 'bay', 'carrigart', 'donegal', 'ireland', 'sheephaven', 'bay', ',', 'carrigart', ',', 'donegal', ',', 'ireland', 'other', 'two', 'golf', 'courses', 'kavanaghfennell']",sheephaven bay carrigart donegal ireland sheephaven bay carrigart donegal ireland other two golf courses kavanaghfennell,12
117,,Liscooley,Castlefin,Donegal,Ireland,"Liscooley, Castlefin, Donegal, Ireland",Development - Not Commenced,,Keenan Corporate Finance,"Liscooley Castlefin Donegal Ireland Liscooley, Castlefin, Donegal, Ireland Development - Not Commenced nan Keenan Corporate Finance","liscooley castlefin donegal ireland liscooley, castlefin, donegal, ireland development - not commenced  kee corporate fice","['liscooley', 'castlefin', 'donegal', 'ireland', 'liscooley', ',', 'castlefin', ',', 'donegal', ',', 'ireland', 'development', '-', 'not', 'commenced', 'kee', 'corporate', 'fice']",liscooley castlefin donegal ireland liscooley castlefin donegal ireland development not commenced kee corporate fice,12
118,,Doonan,Donegal Town,Donegal,Ireland,"Doonan, Donegal Town, Donegal, Ireland",Development - Not Commenced,,Keenan Corporate Finance,"Doonan Donegal Town Donegal Ireland Doonan, Donegal Town, Donegal, Ireland Development - Not Commenced nan Keenan Corporate Finance","doo donegal town donegal ireland doo, donegal town, donegal, ireland development - not commenced  kee corporate fice","['doo', 'donegal', 'town', 'donegal', 'ireland', 'doo', ',', 'donegal', 'town', ',', 'donegal', ',', 'ireland', 'development', '-', 'not', 'commenced', 'kee', 'corporate', 'fice']",doo donegal town donegal ireland doo donegal town donegal ireland development not commenced kee corporate fice,12
119,,Carnamuggagh,Letterkenny,Donegal,Ireland,"Carnamuggagh, Letterkenny, Donegal, Ireland",Other,Nursing Home,"National Insolvency Unit,
HBC Limerick","Carnamuggagh Letterkenny Donegal Ireland Carnamuggagh, Letterkenny, Donegal, Ireland Other Nursing Home National Insolvency Unit,
HBC Limerick","carnamuggagh letterkenny donegal ireland carnamuggagh, letterkenny, donegal, ireland other nursing home national insolvency unit, hbc limerick","['carnamuggagh', 'letterkenny', 'donegal', 'ireland', 'carnamuggagh', ',', 'letterkenny', ',', 'donegal', ',', 'ireland', 'other', 'nursing', 'home', 'national', 'insolvency', 'unit', ',', 'hbc', 'limerick']",carnamuggagh letterkenny donegal ireland carnamuggagh letterkenny donegal ireland other nursing home national insolvency unit hbc limerick,12
120,,Ballymacool,Letterkenny,Donegal,Ireland,"Ballymacool, Letterkenny, Donegal, Ireland",Development - Not Commenced,,PwC,"Ballymacool Letterkenny Donegal Ireland Ballymacool, Letterkenny, Donegal, Ireland Development - Not Commenced nan PwC","ballymacool letterkenny donegal ireland ballymacool, letterkenny, donegal, ireland development - not commenced  pwc","['ballymacool', 'letterkenny', 'donegal', 'ireland', 'ballymacool', ',', 'letterkenny', ',', 'donegal', ',', 'ireland', 'development', '-', 'not', 'commenced', 'pwc']",ballymacool letterkenny donegal ireland ballymacool letterkenny donegal ireland development not commenced pwc,12
121,,Windy Heights,Letterkenny,Donegal,Ireland,"Windy Heights, Letterkenny, Donegal, Ireland",Development - Commenced,,Keenan Corporate Finance,"Windy Heights Letterkenny Donegal Ireland Windy Heights, Letterkenny, Donegal, Ireland Development - Commenced nan Keenan Corporate Finance","windy heights letterkenny donegal ireland windy heights, letterkenny, donegal, ireland development - commenced  kee corporate fice","['windy', 'heights', 'letterkenny', 'donegal', 'ireland', 'windy', 'heights', ',', 'letterkenny', ',', 'donegal', ',', 'ireland', 'development', '-', 'commenced', 'kee', 'corporate', 'fice']",windy heights letterkenny donegal ireland windy heights letterkenny donegal ireland development commenced kee corporate fice,12
122,,Loughnagin,Letterkenny,Donegal,Ireland,"Loughnagin, Letterkenny, Donegal, Ireland",Development - Not Commenced,,Keenan Corporate Finance,"Loughnagin Letterkenny Donegal Ireland Loughnagin, Letterkenny, Donegal, Ireland Development - Not Commenced nan Keenan Corporate Finance","loughnagin letterkenny donegal ireland loughnagin, letterkenny, donegal, ireland development - not commenced  kee corporate fice","['loughnagin', 'letterkenny', 'donegal', 'ireland', 'loughnagin', ',', 'letterkenny', ',', 'donegal', ',', 'ireland', 'development', '-', 'not', 'commenced', 'kee', 'corporate', 'fice']",loughnagin letterkenny donegal ireland loughnagin letterkenny donegal ireland development not commenced kee corporate fice,12
