,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
664,,Church Street,Promenade,Blackpool,Great Britain,"Church Street, Promenade, Blackpool, Great Britain",Retail,,Jones Lang LaSalle Ltd,"Church Street Promenade Blackpool Great Britain Church Street, Promenade, Blackpool, Great Britain Retail nan Jones Lang LaSalle Ltd","church street promenade blackpool great britain church street, promenade, blackpool, great britain retail  jones lang lasalle ltd","['church', 'street', 'promenade', 'blackpool', 'great', 'britain', 'church', 'street', ',', 'promenade', ',', 'blackpool', ',', 'great', 'britain', 'retail', 'jones', 'lang', 'lasalle', 'ltd']",church street promenade blackpool great britain church street promenade blackpool great britain retail jones lang lasalle ltd,0
665,,Bank Hey Street,,Blackpool,Great Britain,"Bank Hey Street, Blackpool, Great Britain",Retail,,Jones Lang LaSalle Ltd,"Bank Hey Street nan Blackpool Great Britain Bank Hey Street, Blackpool, Great Britain Retail nan Jones Lang LaSalle Ltd","bank hey street  blackpool great britain bank hey street, blackpool, great britain retail  jones lang lasalle ltd","['bank', 'hey', 'street', 'blackpool', 'great', 'britain', 'bank', 'hey', 'street', ',', 'blackpool', ',', 'great', 'britain', 'retail', 'jones', 'lang', 'lasalle', 'ltd']",bank hey street blackpool great britain bank hey street blackpool great britain retail jones lang lasalle ltd,0
709,,High Town,,Hereford,Great Britain,"High Town, Hereford, Great Britain",Retail,,Jones Lang LaSalle Ltd,"High Town nan Hereford Great Britain High Town, Hereford, Great Britain Retail nan Jones Lang LaSalle Ltd","high town  hereford great britain high town, hereford, great britain retail  jones lang lasalle ltd","['high', 'town', 'hereford', 'great', 'britain', 'high', 'town', ',', 'hereford', ',', 'great', 'britain', 'retail', 'jones', 'lang', 'lasalle', 'ltd']",high town hereford great britain high town hereford great britain retail jones lang lasalle ltd,0
710,,Church Road,,Hove,Great Britain,"Church Road, Hove, Great Britain",Retail,,GVA,"Church Road nan Hove Great Britain Church Road, Hove, Great Britain Retail nan GVA","church road  hove great britain church road, hove, great britain retail  gva","['church', 'road', 'hove', 'great', 'britain', 'church', 'road', ',', 'hove', ',', 'great', 'britain', 'retail', 'gva']",church road hove great britain church road hove great britain retail gva,0
775,,Westgate,,Mansfield,Great Britain,"Westgate, Mansfield, Great Britain",Retail,,Jones Lang LaSalle Ltd,"Westgate nan Mansfield Great Britain Westgate, Mansfield, Great Britain Retail nan Jones Lang LaSalle Ltd","westgate  mansfield great britain westgate, mansfield, great britain retail  jones lang lasalle ltd","['westgate', 'mansfield', 'great', 'britain', 'westgate', ',', 'mansfield', ',', 'great', 'britain', 'retail', 'jones', 'lang', 'lasalle', 'ltd']",westgate mansfield great britain westgate mansfield great britain retail jones lang lasalle ltd,0
778,,Queen Street,,Nuneaton,Great Britain,"Queen Street, Nuneaton, Great Britain",Retail,,Jones Lang LaSalle Ltd,"Queen Street nan Nuneaton Great Britain Queen Street, Nuneaton, Great Britain Retail nan Jones Lang LaSalle Ltd","queen street  nuneaton great britain queen street, nuneaton, great britain retail  jones lang lasalle ltd","['queen', 'street', 'nuneaton', 'great', 'britain', 'queen', 'street', ',', 'nuneaton', ',', 'great', 'britain', 'retail', 'jones', 'lang', 'lasalle', 'ltd']",queen street nuneaton great britain queen street nuneaton great britain retail jones lang lasalle ltd,0
795,,Fleet Street,Rock Road,Torquay,Great Britain,"Fleet Street, Rock Road, Torquay, Great Britain",Retail,,Jones Lang LaSalle Ltd,"Fleet Street Rock Road Torquay Great Britain Fleet Street, Rock Road, Torquay, Great Britain Retail nan Jones Lang LaSalle Ltd","fleet street rock road torquay great britain fleet street, rock road, torquay, great britain retail  jones lang lasalle ltd","['fleet', 'street', 'rock', 'road', 'torquay', 'great', 'britain', 'fleet', 'street', ',', 'rock', 'road', ',', 'torquay', ',', 'great', 'britain', 'retail', 'jones', 'lang', 'lasalle', 'ltd']",fleet street rock road torquay great britain fleet street rock road torquay great britain retail jones lang lasalle ltd,0
801,,Dock Road,,Wallasey,Great Britain,"Dock Road, Wallasey, Great Britain",Industrial,,Jones Lang LaSalle Ltd,"Dock Road nan Wallasey Great Britain Dock Road, Wallasey, Great Britain Industrial nan Jones Lang LaSalle Ltd","dock road  wallasey great britain dock road, wallasey, great britain industrial  jones lang lasalle ltd","['dock', 'road', 'wallasey', 'great', 'britain', 'dock', 'road', ',', 'wallasey', ',', 'great', 'britain', 'industrial', 'jones', 'lang', 'lasalle', 'ltd']",dock road wallasey great britain dock road wallasey great britain industrial jones lang lasalle ltd,0
803,,Chapel Street,Nuneaton,"Warwickshire CV11
5TZ",Great Britain,"Chapel Street, Nuneaton, Warwickshire CV11
5TZ, Great Britain",Other,Shopping Centre,BTWShiells Ltd,"Chapel Street Nuneaton Warwickshire CV11
5TZ Great Britain Chapel Street, Nuneaton, Warwickshire CV11
5TZ, Great Britain Other Shopping Centre BTWShiells Ltd","chapel street nuneaton warwickshire cv11 5tz great britain chapel street, nuneaton, warwickshire cv11 5tz, great britain other shopping centre btwshiells ltd","['chapel', 'street', 'nuneaton', 'warwickshire', 'cv11', '5tz', 'great', 'britain', 'chapel', 'street', ',', 'nuneaton', ',', 'warwickshire', 'cv11', '5tz', ',', 'great', 'britain', 'other', 'shopping', 'centre', 'btwshiells', 'ltd']",chapel street nuneaton warwickshire cv11 5tz great britain chapel street nuneaton warwickshire cv11 5tz great britain other shopping centre btwshiells ltd,0
