,human_suggested_id,address1,address2,address3,country,fulladdress,assetdescription,additionalassetdescription,receiversfirm,concat,concat_clean,token,token_clean,label
260,,"Certain Residential
Units at The Island",Chapelizod,Dublin 20,Ireland,"Certain Residential
Units at The Island, Chapelizod, Dublin 20, Ireland",Residential,,PwC,"Certain Residential
Units at The Island Chapelizod Dublin 20 Ireland Certain Residential
Units at The Island, Chapelizod, Dublin 20, Ireland Residential nan PwC","certain residential units at the island chapelizod dublin_20 ireland certain residential units at the island, chapelizod, dublin_20, ireland residential pwc","['certain', 'residential', 'units', 'at', 'the', 'island', 'chapelizod', 'dublin_20', 'ireland', 'certain', 'residential', 'units', 'at', 'the', 'island', ',', 'chapelizod', ',', 'dublin_20', ',', 'ireland', 'residential', 'pwc']",certain residential units at the island chapelizod dublin_20 ireland certain residential units at the island chapelizod dublin_20 ireland residential pwc,6
318,,"Single Apartment at
Cork Street",,Dublin 8,Ireland,"Single Apartment at
Cork Street, Dublin 8, Ireland",Residential,,PwC,"Single Apartment at
Cork Street nan Dublin 8 Ireland Single Apartment at
Cork Street, Dublin 8, Ireland Residential nan PwC","single apartment at cork street dublin_8 ireland single apartment at cork street, dublin_8, ireland residential pwc","['single', 'apartment', 'at', 'cork', 'street', 'dublin_8', 'ireland', 'single', 'apartment', 'at', 'cork', 'street', ',', 'dublin_8', ',', 'ireland', 'residential', 'pwc']",single apartment at cork street dublin_8 ireland single apartment at cork street dublin_8 ireland residential pwc,6
319,,"Certain Residential
Units at The
Barleyhouse",Cork Street,Dublin 8,Ireland,"Certain Residential Units at The
Barleyhouse, Cork Street, Dublin 8, Ireland",Residential,,PwC,"Certain Residential
Units at The
Barleyhouse Cork Street Dublin 8 Ireland Certain Residential Units at The
Barleyhouse, Cork Street, Dublin 8, Ireland Residential nan PwC","certain residential units at the barleyhouse cork street dublin_8 ireland certain residential units at the barleyhouse, cork street, dublin_8, ireland residential pwc","['certain', 'residential', 'units', 'at', 'the', 'barleyhouse', 'cork', 'street', 'dublin_8', 'ireland', 'certain', 'residential', 'units', 'at', 'the', 'barleyhouse', ',', 'cork', 'street', ',', 'dublin_8', ',', 'ireland', 'residential', 'pwc']",certain residential units at the barleyhouse cork street dublin_8 ireland certain residential units at the barleyhouse cork street dublin_8 ireland residential pwc,6
320,,"Single Apartment at
Kilmainham Bank",Emmet Road,Dublin 8,Ireland,"Single Apartment at
Kilmainham Bank, Emmet Road, Dublin 8, Ireland",Residential,,PwC,"Single Apartment at
Kilmainham Bank Emmet Road Dublin 8 Ireland Single Apartment at
Kilmainham Bank, Emmet Road, Dublin 8, Ireland Residential nan PwC","single apartment at kilmainham bank emmet road dublin_8 ireland single apartment at kilmainham bank, emmet road, dublin_8, ireland residential pwc","['single', 'apartment', 'at', 'kilmainham', 'bank', 'emmet', 'road', 'dublin_8', 'ireland', 'single', 'apartment', 'at', 'kilmainham', 'bank', ',', 'emmet', 'road', ',', 'dublin_8', ',', 'ireland', 'residential', 'pwc']",single apartment at kilmainham bank emmet road dublin_8 ireland single apartment at kilmainham bank emmet road dublin_8 ireland residential pwc,6
321,,Single Creche Unit,Emmet Road,Dublin 8,Ireland,"Single Creche Unit, Emmet Road, Dublin 8, Ireland",Development - Commenced,,PwC,"Single Creche Unit Emmet Road Dublin 8 Ireland Single Creche Unit, Emmet Road, Dublin 8, Ireland Development - Commenced nan PwC","single creche unit emmet road dublin_8 ireland single creche unit, emmet road, dublin_8, ireland development - commenced pwc","['single', 'creche', 'unit', 'emmet', 'road', 'dublin_8', 'ireland', 'single', 'creche', 'unit', ',', 'emmet', 'road', ',', 'dublin_8', ',', 'ireland', 'development', '-', 'commenced', 'pwc']",single creche unit emmet road dublin_8 ireland single creche unit emmet road dublin_8 ireland development commenced pwc,6
322,,Apartment,Francis Street,Dublin 8,Ireland,"Apartment, Francis Street, Dublin 8, Ireland",Residential,,Grant Thornton,"Apartment Francis Street Dublin 8 Ireland Apartment, Francis Street, Dublin 8, Ireland Residential nan Grant Thornton","apartment francis street dublin_8 ireland apartment, francis street, dublin_8, ireland residential grant thornton","['apartment', 'francis', 'street', 'dublin_8', 'ireland', 'apartment', ',', 'francis', 'street', ',', 'dublin_8', ',', 'ireland', 'residential', 'grant', 'thornton']",apartment francis street dublin_8 ireland apartment francis street dublin_8 ireland residential grant thornton,6
323,,Hanbury Mews,Hanbury Lane,Dublin 8,Ireland,"Hanbury Mews, Hanbury Lane, Dublin 8, Ireland",Residential,,PwC,"Hanbury Mews Hanbury Lane Dublin 8 Ireland Hanbury Mews, Hanbury Lane, Dublin 8, Ireland Residential nan PwC","hanbury mews hanbury lane dublin_8 ireland hanbury mews, hanbury lane, dublin_8, ireland residential pwc","['hanbury', 'mews', 'hanbury', 'lane', 'dublin_8', 'ireland', 'hanbury', 'mews', ',', 'hanbury', 'lane', ',', 'dublin_8', ',', 'ireland', 'residential', 'pwc']",hanbury mews hanbury lane dublin_8 ireland hanbury mews hanbury lane dublin_8 ireland residential pwc,6
324,,"Certain Residential
Units at Bellevue",Islandbridge,Dublin 8,Ireland,"Certain Residential Units at Bellevue, Islandbridge, Dublin 8, Ireland",Residential,,PwC,"Certain Residential
Units at Bellevue Islandbridge Dublin 8 Ireland Certain Residential Units at Bellevue, Islandbridge, Dublin 8, Ireland Residential nan PwC","certain residential units at bellevue islandbridge dublin_8 ireland certain residential units at bellevue, islandbridge, dublin_8, ireland residential pwc","['certain', 'residential', 'units', 'at', 'bellevue', 'islandbridge', 'dublin_8', 'ireland', 'certain', 'residential', 'units', 'at', 'bellevue', ',', 'islandbridge', ',', 'dublin_8', ',', 'ireland', 'residential', 'pwc']",certain residential units at bellevue islandbridge dublin_8 ireland certain residential units at bellevue islandbridge dublin_8 ireland residential pwc,6
325,,"Single Commercial
Unit at Bellevue",Islandbridge,Dublin 8,Ireland,"Single Commercial
Unit at Bellevue, Islandbridge, Dublin 8, Ireland",Development - Commenced,,PwC,"Single Commercial
Unit at Bellevue Islandbridge Dublin 8 Ireland Single Commercial
Unit at Bellevue, Islandbridge, Dublin 8, Ireland Development - Commenced nan PwC","single commercial unit at bellevue islandbridge dublin_8 ireland single commercial unit at bellevue, islandbridge, dublin_8, ireland development - commenced pwc","['single', 'commercial', 'unit', 'at', 'bellevue', 'islandbridge', 'dublin_8', 'ireland', 'single', 'commercial', 'unit', 'at', 'bellevue', ',', 'islandbridge', ',', 'dublin_8', ',', 'ireland', 'development', '-', 'commenced', 'pwc']",single commercial unit at bellevue islandbridge dublin_8 ireland single commercial unit at bellevue islandbridge dublin_8 ireland development commenced pwc,6
326,,Old Kilmainham Mill,Kilmainham,Dublin 8,Ireland,"Old Kilmainham Mill, Kilmainham, Dublin 8, Ireland",Development - Not Commenced,,McStay Luby,"Old Kilmainham Mill Kilmainham Dublin 8 Ireland Old Kilmainham Mill, Kilmainham, Dublin 8, Ireland Development - Not Commenced nan McStay Luby","old kilmainham mill kilmainham dublin_8 ireland old kilmainham mill, kilmainham, dublin_8, ireland development - not commenced mcstay luby","['old', 'kilmainham', 'mill', 'kilmainham', 'dublin_8', 'ireland', 'old', 'kilmainham', 'mill', ',', 'kilmainham', ',', 'dublin_8', ',', 'ireland', 'development', '-', 'not', 'commenced', 'mcstay', 'luby']",old kilmainham mill kilmainham dublin_8 ireland old kilmainham mill kilmainham dublin_8 ireland development not commenced mcstay luby,6
